Experiment:, EIS
Start date:, ?tvrtek 11. kv?tna 2023
Start time:, 16:51:19 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
522, 100000, 0.002740339, -0.01458415
522, 89125.09, -0.002300387, -0.0004649722
522, 79432.82, 0.001984404, -0.002626188
523, 70794.57, 0.003912236, 0.001472543
523, 63095.73, 0.002793004, -0.0009552941
523, 56234.13, 0.004962174, 0.001632633
523, 50118.71, -0.002007837, -0.001737219
523, 44668.35, -0.001500136, -0.004497583
524, 39810.71, 0.00253198, 0.0003238029
524, 35481.33, 0.001596867, 6.252647e-05
524, 31622.77, 0.00205321, 0.0004179739
524, 28183.82, 0.001837323, -0.0002994321
525, 25118.85, 0.002014667, -0.0004431866
525, 22387.2, 0.001810294, -0.0004401754
525, 19952.61, 0.001949947, -0.0003113244
525, 17782.79, 0.002131664, -0.0003847768
526, 15848.92, 0.002205764, -0.0003686947
526, 14125.37, 0.002119341, -0.0005065267
526, 12589.25, 0.002189417, -0.0006290083
526, 11220.18, 0.002211219, -0.0006568914
527, 9999.993, 0.002320217, -0.0007475956
527, 8912.503, 0.002376082, -0.0007547766
527, 7943.276, 0.002409563, -0.0008664967
528, 7079.452, 0.002451516, -0.0009350432
528, 6309.568, 0.002525456, -0.001003367
528, 5623.409, 0.002580112, -0.001081884
528, 5011.868, 0.002641143, -0.001165161
529, 4466.832, 0.002711968, -0.001256299
529, 3981.068, 0.002784054, -0.001360298
529, 3548.131, 0.002867887, -0.001463185
529, 3162.275, 0.002956412, -0.00157734
530, 2818.38, 0.003050014, -0.001696187
530, 2511.884, 0.003163775, -0.001823434
530, 2238.719, 0.003286507, -0.001953658
530, 1995.26, 0.0034217, -0.00208629
531, 1778.277, 0.003577662, -0.002232776
531, 1584.891, 0.00376104, -0.002378725
531, 1412.536, 0.0039499, -0.002523992
531, 1258.924, 0.004170555, -0.00267328
532, 1122.017, 0.004411991, -0.002809818
532, 999.9988, 0.00465482, -0.002935536
532, 891.2498, 0.004949799, -0.003046144
532, 794.3272, 0.005270494, -0.003143678
532, 707.9448, 0.00557908, -0.00323532
532, 630.9565, 0.005901603, -0.003266059
533, 562.3405, 0.006235125, -0.00329892
533, 501.1865, 0.006558577, -0.003331164
533, 446.6829, 0.006932245, -0.003260285
533, 398.1066, 0.007295054, -0.003222647
533, 354.8128, 0.007583659, -0.003102652
533, 316.2273, 0.007885088, -0.002979774
533, 281.8378, 0.008179571, -0.002844279
533, 251.1882, 0.008429356, -0.002692542
534, 223.8717, 0.008663984, -0.002525487
534, 199.5259, 0.00888578, -0.002374014
534, 177.8276, 0.009055858, -0.002175018
534, 158.489, 0.009202213, -0.002009744
534, 141.2535, 0.009351395, -0.001841608
534, 125.8923, 0.009458565, -0.001667338
535, 112.2016, 0.009561146, -0.001488076
535, 99.9998, 0.009531816, -0.001310796
535, 89.12492, 0.009680877, -0.001227586
535, 79.43266, 0.009742948, -0.00108345
535, 70.79443, 0.009784814, -0.0009509985
535, 63.0956, 0.00982686, -0.0008526381
536, 56.23401, 0.009845092, -0.0007535783
536, 50.11861, 0.009871797, -0.0006837443
536, 44.66826, 0.009877099, -0.0006024769
536, 39.81063, 0.009901899, -0.0004975851
536, 35.48126, 0.009879758, -0.0004212715
536, 31.6227, 0.009875996, -0.0003934228
536, 28.18376, 0.009875979, -0.0003009822
537, 25.11881, 0.00991175, -0.0002686192
537, 22.38716, 0.00989009, -0.0002248489
537, 19.95257, 0.009891155, -0.000134425
537, 17.78275, 0.009914045, -0.000147718
537, 15.84889, 0.009853132, -0.0001007983
537, 14.12534, 0.009917432, -0.0001276627
538, 12.58922, 0.009852707, -4.062568e-05
538, 11.22016, 0.009852139, -7.001893e-05
538, 9.999973, 0.009835246, 1.155957e-05
538, 8.912485, 0.009882477, -4.487722e-05
538, 7.943261, 0.009760301, 4.029249e-05
539, 7.079438, 0.009758621, -4.651528e-06
539, 6.309556, 0.009820548, 3.315109e-05
539, 5.623397, 0.009720042, 0.0001271419
539, 5.011858, 0.009633045, 7.696511e-05
540, 4.466823, 0.009794764, 5.475018e-05
540, 3.98106, 0.009740545, 0.0002134516
540, 3.548123, 0.009720542, 0.0001401639
541, 3.162268, 0.009739548, 0.0001219094
541, 2.818374, 0.009667119, 0.0001250259
541, 2.511878, 0.009681836, 0.0001598646
542, 2.238714, 0.009647297, 9.883444e-05
543, 1.995256, 0.009696737, 0.0002430957
543, 1.778274, 0.009641019, 0.0001217539
544, 1.584888, 0.009634982, 0.0001828575
545, 1.412533, 0.00961052, 0.0001931695
545, 1.258921, 0.009602563, 0.0001822464
546, 1.122015, 0.00959307, 0.0001849087
547, 0.999997, 0.009557961, 0.0002140887
549, 0.891248, 0.009467997, 0.0002542047
550, 0.794325, 0.009501996, 0.0002384591
551, 0.707943, 0.009438505, 0.0001852549
553, 0.630955, 0.00947591, 0.0002120691
555, 0.562339, 0.009464747, 0.0002153657
557, 0.501185, 0.009472338, 0.0002244812
559, 0.446682, 0.009415092, 0.0002477367
562, 0.398106, 0.009396989, 0.0002824819
565, 0.354812, 0.009369439, 0.0002228588
568, 0.316227, 0.009374052, 0.0001787713
571, 0.281837, 0.009344651, 0.0002540137
576, 0.251188, 0.009308473, 0.0001767453
580, 0.223871, 0.009268206, 0.0002882498
585, 0.199525, 0.009281029, 0.0001770098
591, 0.177827, 0.009247636, 0.0001612946
597, 0.158489, 0.009207493, 0.0001574522
604, 0.141253, 0.008702362, -0.0001843287
612, 0.125892, 0.01176932, -0.00154692
621, 0.112201, 0.008515085, 0.000687892
631, 0.1, 0.00823205, 0.006090245
