Experiment:, EIS
Start date:, ?ter? 16. kv?tna 2023
Start time:, 12:08:06 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
501, 100000, 0.009796403, -0.00506758
501, 89125.09, -0.004086732, -0.003526311
501, 79432.82, 0.0002636942, 0.002083227
502, 70794.57, 0.0009276276, -0.002953781
502, 63095.73, 0.00524216, -0.00107389
502, 56234.13, -0.000225067, 0.000312158
502, 50118.71, -0.005032649, 0.0004975983
503, 44668.35, 0.003345619, 0.001527717
503, 39810.71, 0.001897129, 0.0005497289
503, 35481.33, 0.001249619, -0.0003099366
503, 31622.77, 0.001709177, -0.000138816
504, 28183.82, 0.00176722, -0.0001599951
504, 25118.85, 0.001870767, -0.0002347935
504, 22387.2, 0.001686037, -0.0002704797
504, 19952.61, 0.002137501, -0.0002282784
505, 17782.79, 0.002071764, -0.0003770475
505, 15848.92, 0.002096042, -0.0003354955
505, 14125.37, 0.002135187, -0.0003856909
505, 12589.25, 0.002360487, -0.0005269405
506, 11220.18, 0.002249336, -0.0005352637
506, 9999.993, 0.002299058, -0.000550692
506, 8912.503, 0.002348369, -0.0006198693
506, 7943.276, 0.00236702, -0.000652426
507, 7079.452, 0.002413984, -0.0007276979
507, 6309.568, 0.002477978, -0.0007603945
507, 5623.409, 0.002512619, -0.0008140774
507, 5011.868, 0.002553124, -0.0008713605
508, 4466.832, 0.002606212, -0.0009378778
508, 3981.068, 0.002662709, -0.001003051
508, 3548.131, 0.002717157, -0.001078851
508, 3162.275, 0.00278389, -0.001160042
509, 2818.38, 0.002854717, -0.001243373
509, 2511.884, 0.002935814, -0.001337892
509, 2238.719, 0.003021506, -0.001435363
509, 1995.26, 0.003129018, -0.001519185
510, 1778.277, 0.003232941, -0.001643285
510, 1584.891, 0.003355635, -0.001753062
510, 1412.536, 0.003503468, -0.001860059
510, 1258.924, 0.003653308, -0.001973455
511, 1122.017, 0.003827363, -0.002082207
511, 999.9988, 0.004040588, -0.002207597
511, 891.2498, 0.004229479, -0.002271048
511, 794.3272, 0.004455128, -0.002350864
511, 707.9448, 0.00468804, -0.002408789
511, 630.9565, 0.004937903, -0.002467841
512, 562.3405, 0.00520174, -0.00249687
512, 501.1865, 0.005450853, -0.002558576
512, 446.6829, 0.005726478, -0.002476643
512, 398.1066, 0.005947883, -0.00239579
512, 354.8128, 0.006232401, -0.00236655
512, 316.2273, 0.006463677, -0.0022722
512, 281.8378, 0.006683684, -0.002174771
512, 251.1882, 0.006880642, -0.002053373
513, 223.8717, 0.007067068, -0.00192487
513, 199.5259, 0.007243808, -0.001774327
513, 177.8276, 0.007362416, -0.001660495
513, 158.489, 0.007479617, -0.001523634
513, 141.2535, 0.00757351, -0.001392713
513, 125.8923, 0.007682541, -0.001267975
514, 112.2016, 0.007748485, -0.001150823
514, 99.9998, 0.007913399, -0.0009573601
514, 89.12492, 0.007852416, -0.0009119639
514, 79.43266, 0.007877128, -0.0008161992
514, 70.79443, 0.007932901, -0.0007111028
514, 63.0956, 0.007947651, -0.0006279132
515, 56.23401, 0.007948663, -0.0005513527
515, 50.11861, 0.007948522, -0.0005127222
515, 44.66826, 0.007997399, -0.0004314714
515, 39.81063, 0.008011889, -0.0003278624
515, 35.48126, 0.007969323, -0.0002808502
515, 31.6227, 0.00795125, -0.000265573
515, 28.18376, 0.007976735, -0.0002767881
516, 25.11881, 0.008001928, -0.0001780591
516, 22.38716, 0.008017522, -8.772003e-05
516, 19.95257, 0.00799945, -0.000103622
516, 17.78275, 0.007940743, -3.169562e-05
516, 15.84889, 0.00792838, -5.41291e-05
516, 14.12534, 0.007941808, -1.941818e-05
517, 12.58922, 0.007921496, -1.361803e-05
517, 11.22016, 0.007832143, 1.185061e-06
517, 9.999973, 0.007868565, 1.258168e-05
517, 8.912485, 0.007944433, 0.0001120926
517, 7.943261, 0.007819191, 0.0001271303
518, 7.079438, 0.007851553, 0.0001593473
518, 6.309556, 0.00788087, 2.894839e-05
518, 5.623397, 0.007773278, 9.038272e-05
518, 5.011858, 0.007823292, 0.0001303389
519, 4.466823, 0.007834614, 0.0001027257
519, 3.98106, 0.007795576, 0.0001326914
