Experiment:, EIS
Start date:, st?eda 17. kv?tna 2023
Start time:, 14:15:26 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
631, 100000, 0.006183641, -0.007683111
631, 89125.09, 0.002012649, -0.004761543
631, 79432.82, -0.002732271, 0.0001705782
631, 70794.57, 0.001685476, -2.220632e-05
632, 63095.73, -0.0006132177, -0.0007414926
632, 56234.13, 0.004430645, -0.0001617513
632, 50118.71, -0.003691536, 0.008043441
632, 44668.35, -0.001084014, 0.003726829
633, 39810.71, 0.001574473, 0.0001962505
633, 35481.33, 0.001717691, -0.0001950369
633, 31622.77, 0.001928533, -0.0009153749
634, 28183.82, 0.00218012, -7.226156e-05
634, 25118.85, 0.002399169, -0.0001840226
634, 22387.2, 0.002079574, -0.0001011643
634, 19952.61, 0.002265972, -0.0003593248
635, 17782.79, 0.002271441, -0.0003274075
635, 15848.92, 0.002469455, -0.0003315746
635, 14125.37, 0.002241058, -0.0004513444
635, 12589.25, 0.002378652, -0.0004577616
635, 11220.18, 0.002477631, -0.0004051185
636, 9999.993, 0.002467127, -0.0004805517
636, 8912.503, 0.002503534, -0.0005545343
636, 7943.276, 0.002547917, -0.0005885421
637, 7079.452, 0.002578825, -0.0005968951
637, 6309.568, 0.00263271, -0.0006340983
637, 5623.409, 0.002673496, -0.0006886695
637, 5011.868, 0.002716788, -0.0007377881
638, 4466.832, 0.00276137, -0.0007878693
638, 3981.068, 0.002809621, -0.0008429951
638, 3548.131, 0.002859432, -0.0009025084
638, 3162.275, 0.002914859, -0.0009641283
638, 2818.38, 0.00297756, -0.001031641
639, 2511.884, 0.003038249, -0.001111096
639, 2238.719, 0.003113921, -0.00118426
639, 1995.26, 0.003202106, -0.001264231
640, 1778.277, 0.003296641, -0.001353802
640, 1584.891, 0.003399466, -0.001438626
640, 1412.536, 0.003518724, -0.001521282
640, 1258.924, 0.003652175, -0.001613308
640, 1122.017, 0.003795278, -0.001691662
641, 999.9988, 0.003944182, -0.001746967
641, 891.2498, 0.004126682, -0.001835605
641, 794.3272, 0.004304249, -0.001897771
641, 707.9448, 0.004511084, -0.001929256
641, 630.9565, 0.004687739, -0.001955462
