Experiment:, EIS
Start date:, ?ter? 6. ?ervna 2023
Start time:, 10:27:05 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
964, 100000, 0.0005515233, 0.001731133
964, 89125.09, -0.007657932, -0.01154178
964, 79432.82, -0.0008441804, -0.004680928
964, 70794.57, 0.0009173971, 0.002600601
965, 63095.73, 0.00350678, 0.005016746
965, 56234.13, -0.007373625, -0.03626357
965, 50118.71, -0.02225938, -0.003662304
965, 44668.35, 0.002503404, -0.01452719
966, 39810.71, -0.003496645, -0.002802065
966, 35481.33, 0.005281858, 0.008541918
966, 31622.77, 0.0009568389, 0.001653048
966, 28183.82, 0.001512728, -0.003864607
967, 25118.85, 0.003293698, -0.0008614914
967, 22387.2, -0.0002368811, 0.002568922
967, 19952.61, 0.003024258, 0.0008373535
967, 17782.79, 0.002952906, 0.0001642162
968, 15848.92, 0.004798049, -0.001182283
968, 14125.37, 0.003748629, -0.0003711576
968, 12589.25, 0.003753294, -4.968453e-05
968, 11220.18, 0.004382946, -0.0005240459
969, 9999.993, 0.00403811, -0.0007723714
969, 8912.503, 0.004163051, -0.0009275404
969, 7943.276, 0.004331365, -0.001014438
969, 7079.452, 0.004606362, -0.0009566314
970, 6309.568, 0.00455969, -0.001255299
970, 5623.409, 0.004597392, -0.0009970936
970, 5011.868, 0.004689361, -0.0009831348
970, 4466.832, 0.004689981, -0.001131609
971, 3981.068, 0.004819657, -0.001183701
971, 3548.131, 0.004831557, -0.001377344
971, 3162.275, 0.004918087, -0.001332111
972, 2818.38, 0.005046194, -0.001404151
972, 2511.884, 0.005080022, -0.001407912
972, 2238.719, 0.005196874, -0.001473746
972, 1995.26, 0.005306262, -0.001707387
973, 1778.277, 0.005388042, -0.001657214
973, 1584.891, 0.005473144, -0.001725183
973, 1412.536, 0.005623605, -0.001849273
973, 1258.924, 0.005788673, -0.001946976
974, 1122.017, 0.005917455, -0.002073534
974, 999.9988, 0.006082669, -0.002292579
974, 891.2498, 0.006193369, -0.002255841
974, 794.3272, 0.006380635, -0.002451396
974, 707.9448, 0.006644977, -0.002486778
974, 630.9565, 0.006778433, -0.002580455
975, 562.3405, 0.007017911, -0.002684241
975, 501.1865, 0.007257485, -0.002722656
975, 446.6829, 0.007512466, -0.002861665
975, 398.1066, 0.007806168, -0.002902606
975, 354.8128, 0.008071797, -0.003002279
975, 316.2273, 0.008324804, -0.003037365
976, 281.8378, 0.008615032, -0.003081203
976, 251.1882, 0.008904623, -0.003052481
976, 223.8717, 0.00919686, -0.00307014
976, 199.5259, 0.00948743, -0.003041513
976, 177.8276, 0.009774422, -0.002972245
976, 158.489, 0.01002218, -0.002885064
976, 141.2535, 0.0103067, -0.002825365
977, 125.8923, 0.01054664, -0.002746335
977, 112.2016, 0.01075201, -0.002692878
977, 99.9998, 0.01098128, -0.002680702
977, 89.12492, 0.01121559, -0.002437466
977, 79.43266, 0.01139122, -0.002344907
977, 70.79443, 0.01159101, -0.002190678
978, 63.0956, 0.01174561, -0.002094213
978, 56.23401, 0.01187577, -0.001930017
978, 50.11861, 0.01195389, -0.00187765
978, 44.66826, 0.01209873, -0.001794519
978, 39.81063, 0.01219594, -0.001701358
978, 35.48126, 0.01239985, -0.001460575
979, 31.6227, 0.01257181, -0.001438248
979, 28.18376, 0.01261095, -0.001369777
979, 25.11881, 0.01252571, -0.001232762
979, 22.38716, 0.01268873, -0.001152797
979, 19.95257, 0.01278438, -0.001081587
979, 17.78275, 0.01270359, -0.000985154
979, 15.84889, 0.01283176, -0.001023694
980, 14.12534, 0.01291225, -0.0007959347
980, 12.58922, 0.01279427, -0.000886042
980, 11.22016, 0.01294317, -0.0008508418
980, 9.999973, 0.01299175, -0.0005948449
980, 8.912485, 0.01312555, -0.0006062026
981, 7.943261, 0.01308478, -0.0006277416
981, 7.079438, 0.01323901, -0.0005765869
981, 6.309556, 0.01293106, -0.0005192738
981, 5.623397, 0.01309404, -0.0006573613
982, 5.011858, 0.01326058, -0.000408853
982, 4.466823, 0.01311375, -0.0005122343
982, 3.98106, 0.01325083, -0.0003592022
982, 3.548123, 0.01320742, -0.0002505238
983, 3.162268, 0.01316394, -0.0003100393
983, 2.818374, 0.01324797, -0.0004145706
984, 2.511878, 0.01315517, -0.0002925085
984, 2.238714, 0.01321442, -0.000306892
985, 1.995256, 0.01326318, -0.0002364926
985, 1.778274, 0.01322483, -0.0002553722
986, 1.584888, 0.01321387, -0.0001701921
987, 1.412533, 0.01325133, -0.0001427431
988, 1.258921, 0.01336899, -9.07424e-05
989, 1.122015, 0.01331429, -0.0002328752
990, 0.999997, 0.0133477, -0.000225423
991, 0.891248, 0.01334083, -0.0002163642
992, 0.794325, 0.0134628, -0.000183003
994, 0.707943, 0.01338669, -0.0002738245
995, 0.630955, 0.01336516, -0.0002868023
997, 0.562339, 0.01329934, -0.0002929131
999, 0.501185, 0.01324249, -0.0002932479
1001, 0.446682, 0.01329915, -0.0004236829
1004, 0.398106, 0.0126355, -0.001241278
1007, 0.354812, 0.01294327, -0.002105648
1010, 0.316227, 0.01325293, -0.0008716448
1014, 0.281837, 0.01297114, -0.001219644
1018, 0.251188, 0.01305279, -0.0002994461
1022, 0.223871, 0.01286251, -0.0004280255
1027, 0.199525, 0.01320145, -0.0005455088
1033, 0.177827, 0.01307489, -0.00046621
1039, 0.158489, 0.01298007, -0.0006106355
1046, 0.141253, 0.01279063, -0.0006643259
1054, 0.125892, 0.013001, -0.0005427343
1063, 0.112201, 0.01289752, -0.0006624473
1074, 0.1, 0.01295924, -0.001128094
