Experiment:, EIS
Start date:, st?eda 14. ?ervna 2023
Start time:, 10:54:50 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
428, 100000, 0.007050698, 0.01075275
428, 89125.09, -0.0007990126, 0.001926507
428, 79432.82, -0.006095154, 0.01032896
429, 70794.57, 0.002342106, -0.0003406087
429, 63095.73, 0.0007729512, 0.001679182
429, 56234.13, 0.00234405, 0.001445568
429, 50118.71, 0.001660475, -0.004288939
430, 44668.35, 0.0004263618, 0.002082033
430, 39810.71, 0.002401405, 0.001298498
430, 35481.33, 0.002495007, -2.81618e-05
430, 31622.77, 0.002794524, 5.81228e-05
431, 28183.82, 0.002668837, 0.0001725832
431, 25118.85, 0.00277288, 0.0001700079
431, 22387.2, 0.002569257, -0.0001533172
431, 19952.61, 0.003024985, -0.0002117424
432, 17782.79, 0.003016425, -0.0002979409
432, 15848.92, 0.003026603, -0.0003052485
432, 14125.37, 0.003019906, -0.0003744429
432, 12589.25, 0.003050147, -0.0004044598
433, 11220.18, 0.003028868, -0.0004197026
433, 9999.993, 0.003152264, -0.0005628991
433, 8912.503, 0.003220391, -0.0005855294
433, 7943.276, 0.00326541, -0.0006588171
434, 7079.452, 0.00328742, -0.0007032529
434, 6309.568, 0.003332003, -0.0007599039
434, 5623.409, 0.003376228, -0.0008259685
434, 5011.868, 0.003417865, -0.0008860245
435, 4466.832, 0.003464901, -0.0009638598
435, 3981.068, 0.003512952, -0.001047994
435, 3548.131, 0.003569741, -0.001141622
435, 3162.275, 0.00362869, -0.001239114
436, 2818.38, 0.003691091, -0.001342549
436, 2511.884, 0.003763378, -0.00146108
436, 2238.719, 0.003835785, -0.001581318
436, 1995.26, 0.003928045, -0.001711109
437, 1778.277, 0.004019601, -0.001861497
437, 1584.891, 0.004121723, -0.002016874
437, 1412.536, 0.004235274, -0.00218087
437, 1258.924, 0.004378143, -0.002357809
438, 1122.017, 0.004527485, -0.002543276
438, 999.9988, 0.004664361, -0.002738181
438, 891.2498, 0.004897657, -0.002938876
438, 794.3272, 0.005114639, -0.003148608
438, 707.9448, 0.005357957, -0.003377497
438, 630.9565, 0.005631718, -0.003576215
438, 562.3405, 0.005949506, -0.003789779
439, 501.1865, 0.006367497, -0.004014515
439, 446.6829, 0.006664708, -0.004187963
439, 398.1066, 0.007014208, -0.004334383
439, 354.8128, 0.007513868, -0.004504024
439, 316.2273, 0.007976002, -0.004614113
439, 281.8378, 0.008456471, -0.004690341
439, 251.1882, 0.008956815, -0.004696812
440, 223.8717, 0.009467215, -0.004701589
440, 199.5259, 0.00989248, -0.004647898
440, 177.8276, 0.01044419, -0.004546119
440, 158.489, 0.01089629, -0.004385987
440, 141.2535, 0.01132873, -0.004198457
440, 125.8923, 0.01172792, -0.003975265
441, 112.2016, 0.01205577, -0.003740842
441, 99.9998, 0.01233806, -0.00353405
441, 89.12492, 0.0126566, -0.003254311
441, 79.43266, 0.01289884, -0.00298197
441, 70.79443, 0.01312136, -0.002741884
441, 63.0956, 0.01329925, -0.002497666
442, 56.23401, 0.01343429, -0.002280632
442, 50.11861, 0.01350605, -0.002095723
442, 44.66826, 0.01364684, -0.001860199
442, 39.81063, 0.01371613, -0.001671721
442, 35.48126, 0.01378994, -0.001510362
442, 31.6227, 0.01383676, -0.001303096
442, 28.18376, 0.01386115, -0.001168214
443, 25.11881, 0.01394813, -0.001032488
443, 22.38716, 0.01393863, -0.0009570143
443, 19.95257, 0.01393949, -0.0008271295
443, 17.78275, 0.01398203, -0.0007067088
443, 15.84889, 0.01401514, -0.0006247259
443, 14.12534, 0.01398754, -0.0005411814
444, 12.58922, 0.01401584, -0.0004951036
444, 11.22016, 0.01401428, -0.000441537
444, 9.999973, 0.01400092, -0.0003447066
444, 8.912485, 0.01400918, -0.0002643992
444, 7.943261, 0.01402834, -0.0003097401
445, 7.079438, 0.01402711, -0.0002162864
445, 6.309556, 0.01395987, -0.0002171053
445, 5.623397, 0.01401508, -0.0001517773
445, 5.011858, 0.01398803, -0.0001424285
446, 4.466823, 0.01400706, -0.0001561243
446, 3.98106, 0.01395281, -9.774182e-05
