Experiment:, EIS
Start date:, p?tek 23. ?ervna 2023
Start time:, 11:19:16 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1422, 100000, 0.002093381, 0.005796711
1422, 89125.09, 0.002869421, 0.01087235
1422, 79432.82, -0.002591161, 0.006871498
1423, 70794.57, -0.0007702512, -0.001183344
1423, 63095.73, -0.0165198, -0.01142306
1423, 56234.13, -0.008966937, -0.01451732
1423, 50118.71, -0.01593495, -0.0004578408
1424, 44668.35, -0.02282805, -0.01012486
1424, 39810.71, -0.003999058, -0.002735121
1424, 35481.33, 0.003067585, 0.001672914
1424, 31622.77, 0.0003902684, -0.003052591
1425, 28183.82, 0.008825122, 0.004924531
1425, 25118.85, 0.002689767, -0.001464824
1425, 22387.2, 0.005196729, 0.0009720486
1425, 19952.61, 0.002883923, 0.001102561
1426, 17782.79, 0.003011478, 0.0003542398
1426, 15848.92, 0.002264217, -0.0006332581
1426, 14125.37, 0.002702489, -0.0008175149
1426, 12589.25, 0.003111403, -0.0002677869
1427, 11220.18, 0.003303712, -0.000373061
1427, 9999.993, 0.003219189, -0.0008201204
1427, 8912.503, 0.002946302, -0.000396512
1427, 7943.276, 0.003263833, -0.0006421152
1428, 7079.452, 0.003201917, -0.0007658019
1428, 6309.568, 0.003402838, -0.0005190932
1428, 5623.409, 0.00330603, -0.0002997738
1428, 5011.868, 0.003529083, -0.0005325979
1429, 4466.832, 0.00329842, -0.0004718205
1429, 3981.068, 0.003437894, -0.0006212227
1429, 3548.131, 0.003468868, -0.0005700431
1429, 3162.275, 0.003482958, -0.0006353094
1430, 2818.38, 0.003344818, -0.0008149493
1430, 2511.884, 0.003562561, -0.0008299947
1430, 2238.719, 0.003605918, -0.0007835533
1430, 1995.26, 0.003631533, -0.0009050861
1431, 1778.277, 0.003717006, -0.0009350047
1431, 1584.891, 0.003786413, -0.001033057
1431, 1412.536, 0.003882111, -0.001031623
1431, 1258.924, 0.003918946, -0.001156469
1432, 1122.017, 0.00401412, -0.001228788
1432, 999.9988, 0.003974865, -0.001263378
1432, 891.2498, 0.004168589, -0.001376866
1432, 794.3272, 0.00427812, -0.001507355
1432, 707.9448, 0.00441051, -0.001635183
1432, 630.9565, 0.004553183, -0.001650025
1432, 562.3405, 0.004703228, -0.001725311
1433, 501.1865, 0.004845209, -0.001669155
1433, 446.6829, 0.005037015, -0.001842039
1433, 398.1066, 0.005208727, -0.002019601
1433, 354.8128, 0.005390458, -0.001980632
1433, 316.2273, 0.005586978, -0.002028377
1433, 281.8378, 0.005771453, -0.002043755
1433, 251.1882, 0.005976596, -0.002052189
1434, 223.8717, 0.006206308, -0.002055523
1434, 199.5259, 0.006395225, -0.002056654
1434, 177.8276, 0.006602159, -0.001999058
1434, 158.489, 0.006783303, -0.001938848
1434, 141.2535, 0.006958096, -0.001904881
1434, 125.8923, 0.007164495, -0.001840062
1435, 112.2016, 0.00729283, -0.001732853
1435, 99.9998, 0.00733755, -0.001612984
1435, 89.12492, 0.007579574, -0.001625871
1435, 79.43266, 0.007725156, -0.001499923
1435, 70.79443, 0.007817722, -0.001401417
1435, 63.0956, 0.007917458, -0.001326656
1436, 56.23401, 0.008007569, -0.001249714
1436, 50.11861, 0.008109268, -0.001192228
1436, 44.66826, 0.008111739, -0.001066136
1436, 39.81063, 0.008161013, -0.001018691
1436, 35.48126, 0.008301413, -0.0009359705
1436, 31.6227, 0.008298818, -0.0008877355
1436, 28.18376, 0.008358068, -0.0008239367
1437, 25.11881, 0.008369109, -0.0007367659
1437, 22.38716, 0.00847472, -0.0007608702
1437, 19.95257, 0.008423022, -0.0007331314
1437, 17.78275, 0.00850815, -0.0005827401
1437, 15.84889, 0.008521328, -0.0007120324
1437, 14.12534, 0.008514212, -0.0005825959
1438, 12.58922, 0.008554525, -0.0005523631
1438, 11.22016, 0.008639791, -0.0005855788
1438, 9.999973, 0.008647415, -0.0005266429
1438, 8.912485, 0.008645361, -0.0004301404
1438, 7.943261, 0.00893885, -0.0007943044
1439, 7.079438, 0.008706626, -0.000474537
1439, 6.309556, 0.008734789, -0.0003745452
1439, 5.623397, 0.008671702, -0.0004981301
1439, 5.011858, 0.008733321, -0.0006588002
1440, 4.466823, 0.008919191, -0.0003945868
1440, 3.98106, 0.00887087, -0.000616946
1440, 3.548123, 0.009043444, -0.0006531061
1441, 3.162268, 0.008479251, -0.0009315801
1441, 2.818374, 0.008904525, -0.0004671116
1441, 2.511878, 0.008955622, -0.0006137601
1442, 2.238714, 0.009157422, -0.0007513243
1443, 1.995256, 0.009190382, -0.0005009157
1443, 1.778274, 0.009245113, -0.00041708
1444, 1.584888, 0.009290877, -0.0008478321
1445, 1.412533, 0.009293284, -0.0005705616
1445, 1.258921, 0.009394245, -0.0006102467
1446, 1.122015, 0.009503041, -0.0004704953
1447, 0.999997, 0.009697459, -0.0004291053
1449, 0.891248, 0.009498978, -0.0006420737
1450, 0.794325, 0.00952227, -0.0006267693
1451, 0.707943, 0.01011934, -0.0002913123
1453, 0.630955, 0.009940472, -0.0008352221
1455, 0.562339, 0.009062832, -0.0004574661
1457, 0.501185, 0.01027146, -0.0008965647
1459, 0.446682, 0.009323824, -0.0006211036
1462, 0.398106, 0.009556429, -0.0006405314
1465, 0.354812, 0.009713064, 5.39848e-05
1468, 0.316227, 0.009773749, -0.0006850258
1471, 0.281837, 0.0100326, -0.0004058992
1475, 0.251188, 0.0106444, -0.0001176118
1480, 0.223871, 0.01057399, -0.0003748757
1485, 0.199525, 0.009943339, -7.732429e-05
1491, 0.177827, 0.01036707, -0.001031261
1497, 0.158489, 0.01034677, -0.0007679022
1504, 0.141253, 0.008581714, -0.001615935
1512, 0.125892, 0.01290945, -0.003332577
1521, 0.112201, 0.009809354, 0.001540946
1531, 0.1, 0.01101631, 0.002525113
