Experiment:, EIS
Start date:, st?eda 12. ?ervence 2023
Start time:, 11:00:21 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
501, 100000, 0.005197618, -0.01260706
501, 89125.09, 0.01065763, -0.01060696
501, 79432.82, 0.005192832, 0.0004873318
502, 70794.57, 0.004805817, 0.006804777
502, 63095.73, -0.0002649792, -0.001659466
502, 56234.13, 0.002146918, 0.004647406
502, 50118.71, 0.004717524, -0.006205028
502, 44668.35, 0.00429977, 0.006879142
503, 39810.71, -0.0002043679, -0.0004104562
503, 35481.33, 0.001031387, -0.0009189682
503, 31622.77, 0.001912335, -2.001783e-05
503, 28183.82, 0.001786116, -0.0006384144
504, 25118.85, 0.001781468, 0.0003850577
504, 22387.2, 0.002113223, -0.0003390671
504, 19952.61, 0.002092084, -0.0002807601
504, 17782.79, 0.001790031, 6.949701e-05
505, 15848.92, 0.002039268, -2.464178e-05
505, 14125.37, 0.001994655, -0.0001109496
505, 12589.25, 0.002045141, -0.0001751053
505, 11220.18, 0.002007741, -0.0001678361
506, 9999.993, 0.002089829, -0.0002139916
506, 8912.503, 0.002132199, -0.0002201367
506, 7943.276, 0.002083596, -0.0002511734
506, 7079.452, 0.002133415, -0.0002957065
507, 6309.568, 0.00213379, -0.0002799678
507, 5623.409, 0.002154601, -0.0003109334
507, 5011.868, 0.002167141, -0.0003393118
507, 4466.832, 0.002179828, -0.0003649539
508, 3981.068, 0.00219199, -0.0003953646
508, 3548.131, 0.002204903, -0.0004314257
508, 3162.275, 0.002220995, -0.000474542
508, 2818.38, 0.002236403, -0.0005205378
509, 2511.884, 0.002254165, -0.000566395
509, 2238.719, 0.00226795, -0.0006212058
509, 1995.26, 0.002306147, -0.0006881736
509, 1778.277, 0.002308908, -0.0007490616
510, 1584.891, 0.002326176, -0.0008277992
510, 1412.536, 0.002349801, -0.0009093204
510, 1258.924, 0.002380462, -0.0009954827
510, 1122.017, 0.002418388, -0.0010925
511, 999.9988, 0.002477561, -0.001187117
511, 891.2498, 0.002487936, -0.001331634
511, 794.3272, 0.002535943, -0.001429318
511, 707.9448, 0.002599104, -0.001605703
511, 630.9565, 0.002644059, -0.001760882
511, 562.3405, 0.002706995, -0.001929532
512, 501.1865, 0.002787389, -0.002095061
512, 446.6829, 0.002872414, -0.002352458
512, 398.1066, 0.002935917, -0.002566866
512, 354.8128, 0.003098258, -0.00282049
512, 316.2273, 0.003234171, -0.003089388
512, 281.8378, 0.003382497, -0.003382859
513, 251.1882, 0.003566615, -0.00369672
513, 223.8717, 0.003795407, -0.004028088
513, 199.5259, 0.004065841, -0.004439821
513, 177.8276, 0.004289871, -0.004758222
513, 158.489, 0.004635919, -0.00516565
513, 141.2535, 0.004977542, -0.005577672
513, 125.8923, 0.005400648, -0.006010171
514, 112.2016, 0.005887795, -0.006459328
514, 99.9998, 0.006495591, -0.006833141
514, 89.12492, 0.007006916, -0.007298167
514, 79.43266, 0.007639035, -0.007750913
514, 70.79443, 0.00840076, -0.008116158
514, 63.0956, 0.00919569, -0.008475523
515, 56.23401, 0.0100622, -0.008790496
515, 50.11861, 0.01101252, -0.008921903
515, 44.66826, 0.01194501, -0.009101946
515, 39.81063, 0.01296062, -0.009173132
515, 35.48126, 0.01392439, -0.009108793
515, 31.6227, 0.01487183, -0.009045672
516, 28.18376, 0.01584499, -0.008733512
516, 25.11881, 0.01673394, -0.008456085
516, 22.38716, 0.01745531, -0.008105129
516, 19.95257, 0.01835753, -0.007704985
516, 17.78275, 0.01891854, -0.007240621
516, 15.84889, 0.01953516, -0.006729661
516, 14.12534, 0.0202075, -0.006299932
517, 12.58922, 0.02039917, -0.005872059
517, 11.22016, 0.02055157, -0.005430991
517, 9.999973, 0.02116904, -0.004675574
517, 8.912485, 0.02163706, -0.004439196
517, 7.943261, 0.02162695, -0.003994614
518, 7.079438, 0.02184706, -0.003396383
518, 6.309556, 0.02211413, -0.003222334
518, 5.623397, 0.02221618, -0.003065688
518, 5.011858, 0.02209277, -0.002569764
519, 4.466823, 0.02222493, -0.002365862
519, 3.98106, 0.0224276, -0.002326141
519, 3.548123, 0.02243261, -0.002060789
520, 3.162268, 0.02250734, -0.001701627
520, 2.818374, 0.02250306, -0.001567212
520, 2.511878, 0.02253775, -0.001427642
521, 2.238714, 0.02255313, -0.001152355
522, 1.995256, 0.02259181, -0.0009305946
522, 1.778274, 0.02268718, -0.0009294756
523, 1.584888, 0.02271513, -0.0008323934
524, 1.412533, 0.02266624, -0.0007123619
524, 1.258921, 0.02280801, -0.0006550658
525, 1.122015, 0.02276888, -0.0006139447
526, 0.999997, 0.02277082, -0.0004703978
528, 0.891248, 0.02280569, -0.0004446518
529, 0.794325, 0.02281342, -0.0003165391
530, 0.707943, 0.02286439, -0.0004747063
532, 0.630955, 0.02294197, 4.189034e-05
534, 0.562339, 0.02283647, -7.607094e-05
536, 0.501185, 0.02269976, -0.0001182609
538, 0.446682, 0.02275626, -0.0002464432
541, 0.398106, 0.02277163, -0.0001249657
544, 0.354812, 0.02259462, -0.0002655638
547, 0.316227, 0.02283119, 0.000243525
550, 0.281837, 0.02265469, 0.0001711642
554, 0.251188, 0.02265213, 0.0002061249
559, 0.223871, 0.02268672, 0.000296715
564, 0.199525, 0.02278994, -3.763914e-05
570, 0.177827, 0.02152668, 0.002596137
577, 0.158489, 0.02142508, -0.002321202
584, 0.141253, 0.03024582, 0.01746444
592, 0.125892, 0.02409022, -0.003904866
601, 0.112201, 0.02130933, -0.0002165218
611, 0.1, 0.02110102, -5.107504e-05
