Experiment:, EIS
Start date:, p?tek 21. ?ervence 2023
Start time:, 10:28:52 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
501, 100000, 0.001907871, -0.002112021
501, 89125.09, 0.002163178, 0.001912026
501, 79432.82, 0.0009589775, -0.006220682
501, 70794.57, -0.0004293305, -0.0002743826
502, 63095.73, 0.004803391, -0.002935086
502, 56234.13, 0.001854968, 0.004175446
502, 50118.71, 0.002895647, -0.001248921
502, 44668.35, 0.0009436772, -0.006832709
503, 39810.71, 0.006414487, -0.0009467067
503, 35481.33, 0.005264637, -0.000373394
503, 31622.77, 0.006332867, 0.001071966
503, 28183.82, 0.005897569, -0.0003581672
504, 25118.85, 0.005559787, -0.0009145619
504, 22387.2, 0.006241137, -0.001441756
504, 19952.61, 0.00607906, -0.001228199
504, 17782.79, 0.006420298, -0.001152809
505, 15848.92, 0.006374906, -0.001022667
505, 14125.37, 0.006805714, -0.001382335
505, 12589.25, 0.006934032, -0.001570746
505, 11220.18, 0.006882074, -0.001617216
506, 9999.993, 0.007163072, -0.001726613
506, 8912.503, 0.007238136, -0.001744167
506, 7943.276, 0.00743074, -0.001783485
506, 7079.452, 0.007580029, -0.001868621
507, 6309.568, 0.007720426, -0.001908876
507, 5623.409, 0.007846486, -0.001959998
507, 5011.868, 0.007998757, -0.002021672
507, 4466.832, 0.008133991, -0.002090112
508, 3981.068, 0.00827581, -0.002156173
508, 3548.131, 0.008409148, -0.002236783
508, 3162.275, 0.008542234, -0.002323452
508, 2818.38, 0.008686913, -0.002416197
509, 2511.884, 0.008832207, -0.002523956
509, 2238.719, 0.008983145, -0.002642667
509, 1995.26, 0.009143301, -0.002774541
509, 1778.277, 0.009306707, -0.002909413
510, 1584.891, 0.009484427, -0.003059544
510, 1412.536, 0.0096871, -0.00322143
510, 1258.924, 0.009887022, -0.003399299
511, 1122.017, 0.01011315, -0.003586832
511, 999.9988, 0.01037627, -0.003771072
511, 891.2498, 0.01063236, -0.003983535
511, 794.3272, 0.01091983, -0.004193571
511, 707.9448, 0.01123895, -0.004409426
511, 630.9565, 0.01159259, -0.00462373
511, 562.3405, 0.01195961, -0.004840781
512, 501.1865, 0.01232642, -0.005042779
512, 446.6829, 0.01279898, -0.005249106
512, 398.1066, 0.01326606, -0.005475052
512, 354.8128, 0.01373932, -0.005603313
512, 316.2273, 0.01426283, -0.005749071
512, 281.8378, 0.01479573, -0.005866418
512, 251.1882, 0.01535418, -0.005956081
513, 223.8717, 0.01592932, -0.006001337
513, 199.5259, 0.01649357, -0.006046836
513, 177.8276, 0.01709274, -0.006001417
513, 158.489, 0.01766431, -0.00592883
513, 141.2535, 0.01824676, -0.005852384
513, 125.8923, 0.0187834, -0.005708646
514, 112.2016, 0.01932617, -0.005513411
514, 99.9998, 0.01977014, -0.005304709
514, 89.12492, 0.02027949, -0.005119474
514, 79.43266, 0.02070235, -0.004895543
514, 70.79443, 0.02109865, -0.00465542
514, 63.0956, 0.02145989, -0.004370115
515, 56.23401, 0.02179685, -0.004128823
515, 50.11861, 0.02211764, -0.003886366
515, 44.66826, 0.02239323, -0.003636147
515, 39.81063, 0.02261064, -0.003405626
515, 35.48126, 0.0228103, -0.003162069
515, 31.6227, 0.02302357, -0.002919122
515, 28.18376, 0.0231512, -0.002710678
516, 25.11881, 0.02326291, -0.002488168
516, 22.38716, 0.02341996, -0.002325241
516, 19.95257, 0.02352488, -0.002185686
516, 17.78275, 0.02365147, -0.002034012
516, 15.84889, 0.02371222, -0.001896206
516, 14.12534, 0.02378655, -0.001774347
517, 12.58922, 0.02387468, -0.001701873
517, 11.22016, 0.02396793, -0.001543269
517, 9.999973, 0.02405315, -0.001504237
517, 8.912485, 0.02410646, -0.001385869
517, 7.943261, 0.02412619, -0.001324216
518, 7.079438, 0.02417254, -0.001288534
518, 6.309556, 0.02424911, -0.001269406
518, 5.623397, 0.02430731, -0.001217116
518, 5.011858, 0.02439368, -0.001169694
519, 4.466823, 0.02444154, -0.001212831
519, 3.98106, 0.02447581, -0.001159773
519, 3.548123, 0.02456062, -0.001176905
520, 3.162268, 0.02460764, -0.001164834
520, 2.818374, 0.02471373, -0.001185041
520, 2.511878, 0.0247753, -0.001174704
521, 2.238714, 0.02487012, -0.001195026
522, 1.995256, 0.02496381, -0.001238662
522, 1.778274, 0.0250678, -0.001233275
523, 1.584888, 0.02512607, -0.00126421
524, 1.412533, 0.02523188, -0.001273829
524, 1.258921, 0.02536453, -0.001289086
525, 1.122015, 0.0254577, -0.001345689
526, 0.999997, 0.02565482, -0.001344582
528, 0.891248, 0.02560561, -0.001254306
529, 0.794325, 0.02583591, -0.001313374
530, 0.707943, 0.0258992, -0.001182033
532, 0.630955, 0.0261004, -0.001292743
534, 0.562339, 0.02624041, -0.001296517
536, 0.501185, 0.02636321, -0.001280174
538, 0.446682, 0.02653661, -0.001301453
541, 0.398106, 0.02665934, -0.001262226
544, 0.354812, 0.02657904, -0.001326401
547, 0.316227, 0.02651543, -0.001294552
550, 0.281837, 0.02638004, -0.001238134
554, 0.251188, 0.02619483, -0.001185909
559, 0.223871, 0.02626099, -0.001199223
564, 0.199525, 0.0261895, -0.000946908
570, 0.177827, 0.02628882, -0.0009974751
576, 0.158489, 0.0264753, -0.0009781588
583, 0.141253, 0.02632332, -0.0008662912
591, 0.125892, 0.02656104, -0.0007639577
600, 0.112201, 0.02648984, -0.0005119928
610, 0.1, 0.02598135, -0.0005672709
