Experiment:, EIS
Start date:, ?ter? 25. ?ervence 2023
Start time:, 10:44:13 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1191, 100000, -0.001265594, -0.0038496
1191, 89125.09, -0.01034292, 0.0005734599
1191, 79432.82, -0.004940285, -0.006421133
1192, 70794.57, 0.0001157552, 0.0001126442
1192, 63095.73, -0.007005391, -0.02032678
1192, 56234.13, 0.01029878, 0.03571164
1192, 50118.71, -0.01388884, -0.02234896
1193, 44668.35, -0.01754021, -0.004654937
1193, 39810.71, 0.0229096, -0.004091725
1193, 35481.33, -0.002056754, 0.001385817
1193, 31622.77, 0.003732089, -0.0006548923
1194, 28183.82, 0.00669172, -0.004076005
1194, 25118.85, 0.0001274212, -0.0002247426
1194, 22387.2, 0.001333424, -0.0004364301
1194, 19952.61, 0.0006701389, -0.001976093
1195, 17782.79, 0.001425893, -0.002296377
1195, 15848.92, 0.002206526, -0.001033144
1195, 14125.37, 0.000913829, -0.0008360534
1195, 12589.25, 0.002327787, -0.0008799282
1196, 11220.18, 0.001685141, -0.0009513681
1196, 9999.993, 0.001574052, -0.0008976316
1196, 8912.503, 0.00181264, -0.0009932196
1196, 7943.276, 0.001589608, -0.0007723938
1197, 7079.452, 0.001982546, -0.001105163
1197, 6309.568, 0.002262437, -0.0009961986
1197, 5623.409, 0.002287056, -0.0009655869
1197, 5011.868, 0.002364914, -0.00122179
1198, 4466.832, 0.002323451, -0.001343021
1198, 3981.068, 0.002492876, -0.001397049
1198, 3548.131, 0.002524785, -0.001416231
1198, 3162.275, 0.002604448, -0.001550696
1199, 2818.38, 0.00274044, -0.001625829
1199, 2511.884, 0.002855473, -0.001709299
1199, 2238.719, 0.002999837, -0.001842046
1199, 1995.26, 0.003068795, -0.001991103
1200, 1778.277, 0.003267816, -0.002015371
1200, 1584.891, 0.003476159, -0.002107467
1200, 1412.536, 0.003599932, -0.002153104
1200, 1258.924, 0.003855607, -0.002261999
1201, 1122.017, 0.004035136, -0.002323763
1201, 999.9988, 0.004126936, -0.002485408
1201, 891.2498, 0.004479041, -0.002494824
1201, 794.3272, 0.00467732, -0.00253042
1201, 707.9448, 0.004969821, -0.002577701
1201, 630.9565, 0.005215439, -0.002578901
1201, 562.3405, 0.00548842, -0.00261855
1202, 501.1865, 0.005568758, -0.002659856
1202, 446.6829, 0.005979501, -0.002546975
1202, 398.1066, 0.006311961, -0.002528943
1202, 354.8128, 0.006469641, -0.002410202
1202, 316.2273, 0.006689645, -0.00232599
1202, 281.8378, 0.00689544, -0.002224221
1202, 251.1882, 0.007069989, -0.002132978
1203, 223.8717, 0.007263645, -0.002009971
1203, 199.5259, 0.007414735, -0.001871303
1203, 177.8276, 0.007569873, -0.001759982
1203, 158.489, 0.007699162, -0.001660963
1203, 141.2535, 0.007777331, -0.001532475
1203, 125.8923, 0.007893395, -0.001450416
1204, 112.2016, 0.008017901, -0.00132137
1204, 99.9998, 0.008096485, -0.001060701
1204, 89.12492, 0.00811516, -0.001122444
1204, 79.43266, 0.008164508, -0.001052551
1204, 70.79443, 0.008212931, -0.0009537341
1204, 63.0956, 0.008261571, -0.0008839
1204, 56.23401, 0.008311086, -0.0008180365
1205, 50.11861, 0.008322896, -0.0007424794
1205, 44.66826, 0.008353868, -0.0007281495
1205, 39.81063, 0.008399202, -0.0006811799
1205, 35.48126, 0.008407394, -0.0006595501
1205, 31.6227, 0.008460745, -0.0005884706
1205, 28.18376, 0.00843778, -0.0005933081
1206, 25.11881, 0.008512502, -0.0005789908
1206, 22.38716, 0.008491218, -0.0005336427
1206, 19.95257, 0.008545548, -0.0005080577
1206, 17.78275, 0.008561883, -0.0004964069
1206, 15.84889, 0.008600304, -0.0004868954
1206, 14.12534, 0.008684099, -0.0004458861
1207, 12.58922, 0.008656221, -0.0004683371
1207, 11.22016, 0.008731716, -0.0004560546
1207, 9.999973, 0.008743322, -0.000473913
1207, 8.912485, 0.008731719, -0.0004353364
1207, 7.943261, 0.008771598, -0.0002769943
1208, 7.079438, 0.008816145, -0.0003087174
1208, 6.309556, 0.008775515, -0.0003855654
1208, 5.623397, 0.008881437, -0.0002751776
1208, 5.011858, 0.008862098, -0.00024562
1209, 4.466823, 0.008830663, -0.000214806
1209, 3.98106, 0.00887445, -0.0002190179
1209, 3.548123, 0.008959038, -0.0001479498
1210, 3.162268, 0.009007018, -0.0001877206
1210, 2.818374, 0.008923267, -0.000197527
1210, 2.511878, 0.008952676, -0.0001654853
1211, 2.238714, 0.008987716, -0.0002952612
1212, 1.995256, 0.009006524, -0.0001258233
1212, 1.778274, 0.008976527, -0.0001464889
1213, 1.584888, 0.008974069, -8.464079e-05
1214, 1.412533, 0.009070006, 8.378119e-05
1214, 1.258921, 0.008828294, -0.000138357
1215, 1.122015, 0.009004726, -8.731389e-05
1216, 0.999997, 0.008083174, -0.0003979484
1218, 0.891248, 0.009017307, -0.0001189727
1219, 0.794325, 0.009264092, -0.0005393926
1220, 0.707943, 0.009043293, 9.396778e-05
1222, 0.630955, 0.008784768, 0.0001445477
1224, 0.562339, 0.009113875, 6.048579e-05
1226, 0.501185, 0.009099614, -0.0001042908
1228, 0.446682, 0.009171537, -0.001599532
1231, 0.398106, 0.009309137, -0.0006149017
1234, 0.354812, 0.009283418, 0.0008005503
1237, 0.316227, 0.009176274, 0.0005714934
1240, 0.281837, 0.008460346, -0.002469516
1244, 0.251188, 0.009278882, 0.0008456784
1249, 0.223871, 0.008977033, 0.0008610966
1254, 0.199525, 0.007155904, -0.001264158
1260, 0.177827, 0.009518693, 0.0008701653
1266, 0.158489, 0.008970961, 0.00134754
1273, 0.141253, 0.00865398, 0.0003740599
1281, 0.125892, 0.008331556, 0.0004315909
1290, 0.112201, 0.009740163, 0.0004962885
1300, 0.1, 0.008510804, 0.0008523673
