Experiment:, EIS
Start date:, ?tvrtek 27. ?ervence 2023
Start time:, 10:22:48 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
340, 100000, 0.001820888, 0.001389762
340, 79432.82, 0.002231343, 0.0007464364
341, 63095.73, 0.002386906, 0.0007922071
341, 50118.72, 0.003018744, 2.463163e-05
341, 39810.71, 0.003978142, -0.0003262028
341, 31622.77, 0.004456003, -0.0005715953
342, 25118.86, 0.004870759, -0.0008378557
342, 19952.62, 0.005185808, -0.001055022
342, 15848.93, 0.005482861, -0.001253668
342, 12589.25, 0.00576451, -0.001428412
343, 9999.997, 0.006059359, -0.001562407
343, 7943.28, 0.0063419, -0.001685315
343, 6309.571, 0.006618732, -0.001803357
343, 5011.871, 0.006808965, -0.001907955
344, 3981.07, 0.00704713, -0.002053522
344, 3162.276, 0.007295678, -0.002241376
344, 2511.885, 0.00751878, -0.002447926
345, 1995.261, 0.007785343, -0.002707004
345, 1584.892, 0.008086263, -0.003024523
345, 1258.925, 0.008445776, -0.003407798
345, 999.9994, 0.008878363, -0.003844867
345, 794.3277, 0.009386217, -0.004333863
346, 630.9569, 0.009998091, -0.004871623
346, 501.1869, 0.01072167, -0.005442046
346, 398.1069, 0.01158668, -0.006021111
346, 316.2275, 0.01259521, -0.00659068
346, 251.1884, 0.01373889, -0.007102395
346, 199.5261, 0.01500782, -0.007522219
347, 158.4892, 0.01636389, -0.007825607
347, 125.8924, 0.01776589, -0.007992276
347, 99.99991, 0.01915774, -0.008007721
347, 79.43275, 0.02052686, -0.007949946
347, 63.09567, 0.02182387, -0.007783692
347, 50.11867, 0.02305926, -0.007562651
348, 39.81068, 0.02422019, -0.007319042
348, 31.62274, 0.02529938, -0.007040915
348, 25.11884, 0.02631075, -0.006781586
348, 19.9526, 0.02725689, -0.006479206
348, 15.84891, 0.02817563, -0.006236543
349, 12.58924, 0.02898879, -0.006017809
349, 9.999988, 0.02976118, -0.00571377
349, 7.943272, 0.03058319, -0.005590399
349, 6.309565, 0.0312462, -0.005426257
349, 5.011866, 0.0319966, -0.005374542
349, 3.981066, 0.03262631, -0.005250491
350, 3.162273, 0.03346935, -0.005321491
350, 2.511883, 0.03396727, -0.005341712
351, 1.995259, 0.03466195, -0.005283167
352, 1.584891, 0.03559286, -0.005402093
352, 1.258924, 0.03640473, -0.005671346
354, 0.999998, 0.03718061, -0.005962216
355, 0.794327, 0.03797815, -0.006283753
356, 0.630956, 0.03886741, -0.006358947
359, 0.501186, 0.03975234, -0.006572071
361, 0.398106, 0.04065323, -0.006686893
364, 0.316227, 0.04163401, -0.006828926
368, 0.251188, 0.04264186, -0.0069303
373, 0.199526, 0.04361892, -0.007078947
380, 0.158489, 0.0445911, -0.006985025
388, 0.125892, 0.04531045, -0.006788085
398, 0.1, 0.04610274, -0.006650176
