Experiment:, EIS
Start date:, ?ter? 26. z??? 2023
Start time:, 15:26:28 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
947, 100000, 0.0001848951, -0.0008868846
947, 79432.82, -0.0001029276, -0.003840837
947, 63095.73, -0.001722562, 0.003734727
947, 50118.72, -0.006550833, 0.002755154
948, 39810.71, -0.003909273, 0.001143459
948, 31622.77, 0.0002646194, 0.004663358
948, 25118.86, 0.0007418807, 0.0001434458
948, 19952.62, 0.001895438, -0.0002896955
949, 15848.93, 0.001521305, -0.0004314609
949, 12589.25, 0.00200632, 0.000133824
949, 9999.997, 0.002003531, -0.0004135845
949, 7943.28, 0.002200481, -0.0003651958
950, 6309.571, 0.002193078, -0.0003536954
950, 5011.871, 0.002211361, -0.0005150979
950, 3981.07, 0.002248177, -0.0005627587
950, 3162.276, 0.002296536, -0.0006609671
951, 2511.885, 0.002346927, -0.0007599695
951, 1995.261, 0.002380197, -0.0009232654
951, 1584.892, 0.002539544, -0.001034274
951, 1258.925, 0.002664492, -0.00118944
952, 999.9994, 0.002876564, -0.00141897
952, 794.3277, 0.003005367, -0.001572696
952, 630.9569, 0.003237459, -0.001773002
952, 501.1869, 0.003484078, -0.002011381
952, 398.1069, 0.003880193, -0.002177838
952, 316.2275, 0.004244301, -0.002437938
953, 251.1884, 0.004707137, -0.002622299
953, 199.5261, 0.005226197, -0.00275223
953, 158.4892, 0.005809646, -0.002806179
953, 125.8924, 0.006376623, -0.002752123
953, 99.99991, 0.006867456, -0.002618946
953, 79.43275, 0.007399197, -0.002395261
953, 63.09567, 0.007821733, -0.002111146
954, 50.11867, 0.008136007, -0.001826909
954, 39.81068, 0.008391417, -0.001560124
954, 31.62274, 0.008531252, -0.001278344
954, 25.11884, 0.00869156, -0.001060119
954, 19.9526, 0.008732619, -0.0008924042
954, 15.84891, 0.008800558, -0.0006759871
955, 12.58924, 0.008873502, -0.0005201873
955, 9.999988, 0.008895045, -0.0005539648
955, 7.943272, 0.008880386, -0.0003185958
955, 6.309565, 0.008876384, -0.0002773109
955, 5.011866, 0.008898675, -0.0001996638
956, 3.981066, 0.008875903, -0.0001625029
956, 3.162273, 0.008891771, -0.0001470622
957, 2.511883, 0.008868131, -8.410395e-05
957, 1.995259, 0.008915626, -0.0001094104
958, 1.584891, 0.008904849, -8.023933e-05
959, 1.258924, 0.00885041, -4.802662e-05
960, 0.999998, 0.008804839, -9.591288e-05
961, 0.794327, 0.008880517, -5.032096e-05
963, 0.630956, 0.008898133, -2.202194e-05
965, 0.501186, 0.00883831, -2.45083e-05
967, 0.398106, 0.008864629, -2.522374e-05
970, 0.316227, 0.008942053, 0.0001811521
975, 0.251188, 0.008881356, -2.463593e-05
980, 0.199526, 0.008860459, -9.991962e-05
986, 0.158489, 0.009024908, -0.0001416913
994, 0.125892, 0.009007225, 2.29772e-05
1004, 0.1, 0.009144302, -9.810909e-05
