Experiment:, EIS
Start date:, st?eda 27. z??? 2023
Start time:, 10:32:01 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
271, 100000, -0.007775603, -0.002054356
271, 89125.09, -0.01599571, 0.008254924
271, 79432.82, -0.004677285, -0.003527725
271, 70794.57, -0.001139584, -0.002768527
272, 63095.73, 0.0005582614, -0.001432085
272, 56234.13, -0.007587898, -0.007315463
272, 50118.71, 0.001311017, -0.01063267
272, 44668.35, 0.01276116, 0.0327993
273, 39810.71, 0.000845935, -0.004473553
273, 35481.33, 0.002610468, 8.772212e-05
273, 31622.77, 0.001761989, 0.001091474
273, 28183.82, 0.001631159, -0.0008856998
274, 25118.85, 0.002248623, -0.0003082218
274, 22387.2, 0.001745522, 0.000143603
274, 19952.61, 0.002408154, 9.006461e-05
274, 17782.79, 0.002452117, -0.0004950814
275, 15848.92, 0.002437341, -0.0003249311
275, 14125.37, 0.002383235, -0.0002267696
275, 12589.25, 0.002445236, -0.0001659366
275, 11220.18, 0.002418028, -0.0003559268
276, 9999.993, 0.002449622, -0.000320834
276, 8912.503, 0.002532549, -0.0004456804
276, 7943.276, 0.002588784, -0.0004246835
276, 7079.452, 0.002677901, -0.0004167001
277, 6309.568, 0.002682757, -0.0004356948
277, 5623.409, 0.002717681, -0.0004689003
277, 5011.868, 0.002749048, -0.0004746208
277, 4466.832, 0.002782916, -0.0004970942
278, 3981.068, 0.002809192, -0.0005159082
278, 3548.131, 0.002843406, -0.0005360038
278, 3162.275, 0.002874856, -0.000557513
278, 2818.38, 0.002901307, -0.0005874088
279, 2511.884, 0.002939021, -0.000625502
279, 2238.719, 0.002966696, -0.000658836
279, 1995.26, 0.003023495, -0.0006874679
279, 1778.277, 0.003044722, -0.0007316987
280, 1584.891, 0.003074819, -0.0007754088
280, 1412.536, 0.003120496, -0.0008295007
280, 1258.924, 0.003153152, -0.0008828264
280, 1122.017, 0.003194001, -0.0009325607
281, 999.9988, 0.003258872, -0.00103848
281, 891.2498, 0.003282961, -0.001068312
281, 794.3272, 0.003331464, -0.001142754
281, 707.9448, 0.003377383, -0.001233409
281, 630.9565, 0.003440919, -0.001328377
281, 562.3405, 0.003513563, -0.001433022
282, 501.1865, 0.003673457, -0.001527022
282, 446.6829, 0.003645702, -0.001656505
282, 398.1066, 0.003807515, -0.001757802
282, 354.8128, 0.00383889, -0.001953543
282, 316.2273, 0.003945963, -0.0021202
282, 281.8378, 0.004087293, -0.002270677
282, 251.1882, 0.004233158, -0.002452223
283, 223.8717, 0.004400756, -0.002654217
283, 199.5259, 0.004557028, -0.002880122
283, 177.8276, 0.004782645, -0.003064839
283, 158.489, 0.005040542, -0.003268734
283, 141.2535, 0.005296508, -0.003512482
283, 125.8923, 0.005622236, -0.003697182
284, 112.2016, 0.005955981, -0.003940635
284, 99.9998, 0.006381826, -0.003925285
284, 89.12492, 0.00669341, -0.004200727
284, 79.43266, 0.007112355, -0.004394257
284, 70.79443, 0.007590157, -0.004487724
284, 63.0956, 0.008044033, -0.004587753
284, 56.23401, 0.00854542, -0.004583964
285, 50.11861, 0.009018985, -0.004599724
285, 44.66826, 0.009515978, -0.004548689
285, 39.81063, 0.009975649, -0.004434505
285, 35.48126, 0.01042012, -0.004256741
285, 31.6227, 0.01091618, -0.004112372
285, 28.18376, 0.01123949, -0.003920284
286, 25.11881, 0.01156693, -0.003664643
286, 22.38716, 0.01194342, -0.003440708
286, 19.95257, 0.0121945, -0.003124839
286, 17.78275, 0.01238383, -0.002955694
286, 15.84889, 0.01262495, -0.002714497
286, 14.12534, 0.01280056, -0.002481497
287, 12.58922, 0.01290414, -0.002248924
287, 11.22016, 0.01306914, -0.001983042
287, 9.999973, 0.01316562, -0.001840508
287, 8.912485, 0.01322932, -0.001651275
287, 7.943261, 0.01334696, -0.001432645
288, 7.079438, 0.01335598, -0.001326601
288, 6.309556, 0.01345914, -0.00115045
288, 5.623397, 0.01347195, -0.001084698
288, 5.011858, 0.01347315, -0.0009639626
289, 4.466823, 0.0134667, -0.0008402736
289, 3.98106, 0.01348904, -0.0007061308
289, 3.548123, 0.01348415, -0.00057285
290, 3.162268, 0.01352199, -0.0005943031
290, 2.818374, 0.01356129, -0.0005711899
290, 2.511878, 0.01349443, -0.0004598975
291, 2.238714, 0.01355589, -0.000335797
291, 1.995256, 0.01355262, -0.0003536923
292, 1.778274, 0.01352235, -0.0002969321
293, 1.584888, 0.01343691, -0.0003377411
294, 1.412533, 0.013578, -0.0002818832
294, 1.258921, 0.01361264, -0.00017577
295, 1.122015, 0.01364381, -0.0002155477
296, 0.999997, 0.01356678, -0.0001656157
298, 0.891248, 0.01362748, -0.0002414173
299, 0.794325, 0.01358456, -0.0001358833
300, 0.707943, 0.01361341, -0.0001710501
302, 0.630955, 0.01358741, 0.0002224316
304, 0.562339, 0.01368593, -9.77349e-05
306, 0.501185, 0.01359347, -0.0001391733
308, 0.446682, 0.0135239, -0.0001257994
311, 0.398106, 0.01349661, -3.737361e-05
314, 0.354812, 0.01372133, 0.0002404967
317, 0.316227, 0.0144264, -0.0004266187
320, 0.281837, 0.01333093, 0.000455727
324, 0.251188, 0.01353982, 0.0001778561
329, 0.223871, 0.01361435, 0.0001132008
334, 0.199525, 0.01334221, 0.0001571401
340, 0.177827, 0.01292328, -0.000805956
346, 0.158489, 0.0127755, 0.0001150188
353, 0.141253, 0.01308918, 2.590309e-05
361, 0.125892, 0.01290662, -0.0001930433
370, 0.112201, 0.01307804, 0.0002985593
380, 0.1, 0.01283542, 0.0002396875
