Experiment:, EIS
Start date:, ?tvrtek 12. ??jna 2023
Start time:, 9:53:25 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
531, 100000, 0.01099814, -0.05121204
531, 79432.82, 0.001350812, 0.000196026
531, 63095.73, 0.001804277, 0.000210021
532, 50118.72, 0.004290115, -0.0004514298
532, 39810.71, 0.001153367, 0.0005170635
532, 31622.77, 0.001829199, 0.0006851443
532, 25118.86, 0.001793284, 5.340959e-05
532, 19952.62, 0.001919185, -8.577226e-05
533, 15848.93, 0.001978483, -0.000231774
533, 12589.25, 0.00207185, -0.0002233349
533, 9999.997, 0.002130375, -0.0002484448
533, 7943.28, 0.00218061, -0.0002996494
534, 6309.571, 0.002210989, -0.0003282575
534, 5011.871, 0.002252743, -0.0003712376
534, 3981.07, 0.00229516, -0.0004237869
534, 3162.276, 0.002342514, -0.0004876153
535, 2511.885, 0.002388331, -0.000563902
535, 1995.261, 0.002435577, -0.0006512533
535, 1584.892, 0.002502033, -0.000770389
535, 1258.925, 0.002578597, -0.0009020607
536, 999.9994, 0.002651246, -0.001054143
536, 794.3277, 0.002798504, -0.001243999
536, 630.9569, 0.002970116, -0.001454352
536, 501.1869, 0.003202126, -0.001736431
536, 398.1069, 0.003502975, -0.001904986
536, 316.2275, 0.003805049, -0.00217301
537, 251.1884, 0.004220842, -0.002392024
537, 199.5261, 0.004744026, -0.002571963
537, 158.4892, 0.005250727, -0.002626289
537, 125.8924, 0.005797478, -0.002599861
537, 99.99991, 0.006300311, -0.002515767
537, 79.43275, 0.006817608, -0.002277814
538, 63.09567, 0.007212292, -0.002028027
538, 50.11867, 0.007558923, -0.001736172
538, 39.81068, 0.007753474, -0.001463038
538, 31.62274, 0.007913352, -0.001212155
538, 25.11884, 0.0080352, -0.001000678
538, 19.9526, 0.008100044, -0.0007498004
538, 15.84891, 0.008168158, -0.0006307676
539, 12.58924, 0.008197717, -0.00050558
539, 9.999988, 0.008226738, -0.0004025539
539, 7.943272, 0.0082047, -0.0002959171
539, 6.309565, 0.008224245, -0.0002253097
540, 5.011866, 0.008208546, -0.0001764089
540, 3.981066, 0.008212301, -0.0001284327
540, 3.162273, 0.00819542, -0.0001072577
541, 2.511883, 0.008195365, -6.551434e-05
541, 1.995259, 0.008207996, -4.096219e-05
542, 1.584891, 0.00819541, -3.205324e-05
543, 1.258924, 0.008201813, -3.911318e-06
544, 0.999998, 0.008211926, 1.674282e-05
545, 0.794327, 0.008173345, 3.382505e-05
547, 0.630956, 0.008176235, 4.343078e-05
549, 0.501186, 0.008349571, 0.000401092
551, 0.398106, 0.008230397, -0.0004132511
555, 0.316227, 0.008167482, -7.858675e-06
559, 0.251188, 0.008120364, 4.7163e-05
564, 0.199526, 0.008137074, 6.413037e-05
570, 0.158489, 0.008063297, -1.856706e-05
578, 0.125892, 0.008050486, -0.0005106226
588, 0.1, 0.008146157, -1.012509e-05
