Experiment:, EIS
Start date:, p?tek 27. ??jna 2023
Start time:, 14:31:15 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1155, 100000, -0.004601401, 0.003840391
1155, 79432.82, -0.004565774, 0.007375888
1155, 63095.73, -0.01179674, -0.0004104754
1155, 50118.72, -0.0068793, -0.008209425
1156, 39810.71, 0.004611665, -0.0003214039
1156, 31622.77, 0.00147959, -5.064257e-06
1156, 25118.86, 0.003131391, -0.0008804316
1156, 19952.62, 0.002600061, -0.0007227488
1157, 15848.93, 0.002746706, -0.001262851
1157, 12589.25, 0.00284875, -0.0009069931
1157, 9999.997, 0.002609411, -0.00115131
1157, 7943.28, 0.003015411, -0.001469402
1158, 6309.571, 0.00312896, -0.00181222
1158, 5011.871, 0.003271618, -0.002100265
1158, 3981.07, 0.003503207, -0.002489527
1158, 3162.276, 0.003757838, -0.002938773
1159, 2511.885, 0.004075754, -0.003455367
1159, 1995.261, 0.004503657, -0.004058879
1159, 1584.892, 0.005024726, -0.004775969
1159, 1258.925, 0.005719771, -0.005555494
1160, 999.9994, 0.006641503, -0.006438318
1160, 794.3277, 0.007820694, -0.007200551
1160, 630.9569, 0.009297146, -0.007873973
1160, 501.1869, 0.01102129, -0.008333647
1160, 398.1069, 0.01280952, -0.008477692
1160, 316.2275, 0.01458542, -0.008172045
1161, 251.1884, 0.01618999, -0.007581911
1161, 199.5261, 0.01754125, -0.006868573
1161, 158.4892, 0.01858853, -0.005998079
1161, 125.8924, 0.01937458, -0.00515807
1161, 99.99991, 0.02002738, -0.00441908
1161, 79.43275, 0.02040212, -0.003695375
1161, 63.09567, 0.02071841, -0.003163175
1162, 50.11867, 0.02090526, -0.002732173
1162, 39.81068, 0.02104707, -0.002295756
1162, 31.62274, 0.02127157, -0.001779624
1162, 25.11884, 0.02138402, -0.001661462
1162, 19.9526, 0.02148421, -0.001628147
1162, 15.84891, 0.0218111, -0.001296555
1163, 12.58924, 0.02166534, -0.001197104
1163, 9.999988, 0.02174205, -0.0009461337
1163, 7.943272, 0.02189547, -0.0009499748
1163, 6.309565, 0.02202155, -0.0008249944
1163, 5.011866, 0.02203625, -0.000755079
1164, 3.981066, 0.02211825, -0.0007946969
1164, 3.162273, 0.02218736, -0.0007230346
1165, 2.511883, 0.02247163, -0.0008064267
1165, 1.995259, 0.02258994, -0.000598274
1166, 1.584891, 0.02282532, -0.0003658939
1167, 1.258924, 0.02257315, -0.0003685924
1168, 0.999998, 0.02258476, -0.0001018782
1169, 0.794327, 0.02260577, -3.681466e-05
1171, 0.630956, 0.02257182, 0.0001040604
1173, 0.501186, 0.02231537, 0.0001933301
1175, 0.398106, 0.02244518, 6.679473e-05
1179, 0.316227, 0.02229382, 0.0007593466
1183, 0.251188, 0.02211362, 0.000347109
1188, 0.199526, 0.02200667, 0.0006035829
1194, 0.158489, 0.02225149, 0.0002690465
1202, 0.125892, 0.02220093, 0.0003980069
1212, 0.1, 0.02200069, 0.0001610291
