Experiment:, EIS
Start date:, p?tek 10. listopadu 2023
Start time:, 15:05:19 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
531, 100000, -0.005916759, 0.002310926
531, 79432.82, -1.700117e-05, 0.00204118
531, 63095.73, 0.0002274856, -0.0008672584
531, 50118.72, 0.005763465, 0.00435972
532, 39810.71, 0.001370968, 0.0008357037
532, 31622.77, 0.001875017, 0.000130465
532, 25118.86, 0.002140119, 9.638917e-05
532, 19952.62, 0.002407616, -0.0001415995
533, 15848.93, 0.002542122, -0.0002617937
533, 12589.25, 0.002565942, -0.0002759346
533, 9999.997, 0.002652324, -0.0003401602
533, 7943.28, 0.002781559, -0.0003936675
534, 6309.571, 0.002857047, -0.0004403756
534, 5011.871, 0.002921916, -0.0004986345
534, 3981.07, 0.002997088, -0.0005455526
534, 3162.276, 0.003070125, -0.0006064287
535, 2511.885, 0.003139054, -0.0006724669
535, 1995.261, 0.003224586, -0.0007717112
535, 1584.892, 0.003291789, -0.0008544431
535, 1258.925, 0.003388553, -0.000977074
536, 999.9994, 0.003544561, -0.001097744
536, 794.3277, 0.003656321, -0.001272268
536, 630.9569, 0.003834542, -0.001460931
536, 501.1869, 0.004088848, -0.00157289
536, 398.1069, 0.004290276, -0.001908778
536, 316.2275, 0.004667242, -0.002036533
537, 251.1884, 0.005046614, -0.002206535
537, 199.5261, 0.005540853, -0.002345355
537, 158.4892, 0.005966431, -0.002348474
537, 125.8924, 0.006438584, -0.002325866
537, 99.99991, 0.006952406, -0.002242954
537, 79.43275, 0.007313658, -0.002030548
538, 63.09567, 0.007663825, -0.001816526
538, 50.11867, 0.007962042, -0.001594078
538, 39.81068, 0.008156366, -0.001356842
538, 31.62274, 0.008309322, -0.001117988
538, 25.11884, 0.008422055, -0.0008927822
538, 19.9526, 0.008486722, -0.0007147538
539, 15.84891, 0.00854298, -0.0005479263
539, 12.58924, 0.008576315, -0.000444627
539, 9.999988, 0.008610805, -0.0003584097
539, 7.943272, 0.008604066, -0.0002605967
539, 6.309565, 0.008617144, -0.0001949586
540, 5.011866, 0.008583359, -0.000162001
540, 3.981066, 0.008560078, -7.425288e-05
540, 3.162273, 0.008601277, 9.195878e-06
541, 2.511883, 0.00860129, -3.053921e-05
541, 1.995259, 0.008606843, -4.043329e-05
542, 1.584891, 0.008568317, -4.975381e-05
543, 1.258924, 0.008540036, 9.048724e-06
544, 0.999998, 0.008541755, 4.045948e-05
545, 0.794327, 0.008522577, 8.167621e-05
547, 0.630956, 0.008495606, 9.142956e-05
549, 0.501186, 0.008473045, 0.0001097264
551, 0.398106, 0.008447587, 0.0001221102
554, 0.316227, 0.008423, 0.0001244247
559, 0.251188, 0.008433584, 0.0001138009
564, 0.199526, 0.008476887, 3.351811e-05
570, 0.158489, 0.008524095, 5.419755e-06
578, 0.125892, 0.00839367, 1.951841e-05
588, 0.1, 0.008317238, 8.505303e-05
