Experiment:, Load
Start date:, ?ter? 20. z??? 2022
Start time:, 15:48:33 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
150.1, 0.01510254, 1.053087
150.2, 0.01572808, 1.089109
150.3, -0.06496777, 1.036655
150.35, -0.003038393, 0.9671369
150.5, -0.00366394, 0.9804085
150.65, -0.004915043, 0.9747207
150.7, -0.005540589, 0.9715608
150.8, -0.006791682, 0.9608171
150.85, -0.007417239, 0.9529173
151, -0.008668332, 0.9320618
151.05, -0.009293883, 0.9262159
151.15, -0.01054498, 0.9154723
151.25, -0.01117053, 0.9069405
151.35, -0.01179608, 0.9014106
151.45, -0.01179608, 0.8973027
151.55, -0.01304718, 0.8927209
151.6, -0.01304718, 0.8908249
151.75, -0.01429828, 0.8865591
151.8, -0.01429828, 0.8851371
151.9, -0.01554937, 0.8821352
152, -0.01617493, 0.8815032
152.1, -0.01742602, 0.8791333
152.2, -0.01805157, 0.8778693
152.3, -0.01930267, 0.8753414
152.35, -0.01930267, 0.8754994
152.5, -0.02055377, 0.8724974
152.55, -0.02117932, 0.8721815
152.65, -0.02243042, 0.8704435
152.75, -0.02243042, 0.8706015
152.85, -0.02368151, 0.8682315
152.95, -0.02368151, 0.8674416
153.05, -0.02493261, 0.8661776
153.1, -0.02493261, 0.8657036
153.25, -0.02680926, 0.8628597
153.3, -0.02680926, 0.8628597
153.4, -0.02743481, 0.8622277
153.5, -0.02868591, 0.8612798
153.6, -0.02993701, 0.8600158
153.7, -0.03056256, 0.8593838
153.8, -0.03181365, 0.8581198
153.85, -0.03181365, 0.8568559
154, -0.03306475, 0.8565399
154.05, -0.03306475, 0.8554339
154.2, -0.03556695, 0.854012
154.25, -0.03556695, 0.853538
154.4, -0.03619251, 0.852432
154.45, -0.0374436, 0.851326
154.6, -0.03806914, 0.850536
154.75, -0.03932025, 0.8499041
154.8, -0.03994579, 0.8495881
154.95, -0.04119689, 0.8487981
155, -0.04119689, 0.8481661
155.1, -0.04244799, 0.8475341
155.2, -0.04244799, 0.8467441
155.25, -0.04369909, 0.8459542
155.35, -0.04432464, 0.8451642
155.45, -0.04557574, 0.8440582
155.55, -0.04620128, 0.8440582
155.6, -0.04745239, 0.8432683
155.75, -0.04745239, 0.8429523
155.85, -0.04870348, 0.8424783
155.95, -0.04870348, 0.8416883
156.05, -0.04995458, 0.8405823
156.1, -0.04995458, 0.8405823
156.2, -0.05120568, 0.8396344
156.3, -0.05120568, 0.8394763
156.45, -0.05308233, 0.8378964
156.5, -0.05370788, 0.8377384
156.55, -0.05433342, 0.8371064
156.7, -0.05495897, 0.8361584
156.75, -0.05558453, 0.8360004
156.85, -0.05558453, 0.8355264
157, -0.05808672, 0.8337885
157.05, -0.05808672, 0.8337885
157.2, -0.05996337, 0.8320506
157.25, -0.05996337, 0.8315766
157.4, -0.06058892, 0.8311026
157.45, -0.06184002, 0.8307865
157.5, -0.06121447, 0.8301546
157.6, -0.06184002, 0.8295226
157.75, -0.06309112, 0.8287326
157.8, -0.06371667, 0.8282586
157.9, -0.06496777, 0.8274687
158, -0.06559331, 0.8268367
158.15, -0.06684442, 0.8260467
158.2, -0.06746996, 0.8255727
158.3, -0.06809551, 0.8249407
158.35, -0.06872107, 0.8247827
158.55, -0.06872107, 0.8243088
158.6, -0.06997216, 0.8239927
158.75, -0.0705977, 0.8232028
158.9, -0.07184881, 0.8220968
158.95, -0.07247435, 0.8219388
159.05, -0.0730999, 0.8211489
159.1, -0.07372544, 0.8213068
159.2, -0.07497655, 0.8203589
159.3, -0.07497655, 0.8202009
159.45, -0.0768532, 0.8192528
159.5, -0.0768532, 0.8190949
159.6, -0.07747874, 0.8181469
159.7, -0.0781043, 0.8181469
159.8, -0.07935539, 0.817515
159.85, -0.07935539, 0.8171989
160, -0.08060649, 0.816251
160.05, -0.08060649, 0.816093
160.2, -0.08248314, 0.815145
160.25, -0.08248314, 0.814987
160.35, -0.08435979, 0.8143551
160.45, -0.08435979, 0.8141971
160.55, -0.08498534, 0.813881
160.6, -0.08561088, 0.813091
160.75, -0.08686198, 0.8127751
160.8, -0.08686198, 0.8124591
160.95, -0.08811309, 0.8111951
161, -0.08873863, 0.8108791
161.15, -0.08998973, 0.8105631
161.2, -0.09061528, 0.8100892
161.3, -0.09124083, 0.8097731
161.35, -0.09124083, 0.8096152
161.5, -0.09186638, 0.8091412
161.55, -0.09249193, 0.8086672
161.65, -0.09374303, 0.8078772
161.75, -0.09499412, 0.8074032
161.9, -0.09624523, 0.8066132
161.95, -0.09561968, 0.8067712
162, -0.09624523, 0.8064553
162.1, -0.09749633, 0.8058233
162.25, -0.09874742, 0.8050333
162.3, -0.09874742, 0.8050333
162.4, -0.09937298, 0.8042433
162.5, -0.0999985, 0.8039273
162.65, -0.1012496, 0.8034533
162.7, -0.1012496, 0.8031374
162.8, -0.1025007, 0.8023473
162.85, -0.1025007, 0.8021894
163, -0.1043774, 0.8013994
163.05, -0.1037518, 0.8012414
163.2, -0.1056285, 0.8002934
163.25, -0.1056285, 0.8001354
163.4, -0.1075051, 0.7991874
163.45, -0.1068796, 0.7990295
163.55, -0.1081306, 0.7987134
163.6, -0.1081306, 0.7985555
163.75, -0.1100073, 0.7979235
163.8, -0.1106329, 0.7976075
163.85, -0.1112584, 0.7974495
164, -0.1112584, 0.7965015
164.1, -0.1125095, 0.7961855
164.2, -0.1125095, 0.7961855
164.3, -0.1137606, 0.7955535
164.35, -0.1137606, 0.7952375
164.4, -0.1150117, 0.7950795
164.55, -0.1162628, 0.7942896
164.6, -0.1175139, 0.7938156
164.75, -0.1181394, 0.7933416
164.85, -0.118765, 0.7931836
164.95, -0.118765, 0.7927096
165, -0.1193905, 0.7925516
165.1, -0.1200161, 0.7917617
165.2, -0.1218927, 0.7911296
165.3, -0.1218927, 0.7908136
165.45, -0.1231438, 0.7898657
165.5, -0.1231438, 0.7898657
165.65, -0.1250205, 0.7887597
165.7, -0.1243949, 0.7886018
165.75, -0.125646, 0.7882857
165.85, -0.125646, 0.7878118
166, -0.1281482, 0.7870218
166.05, -0.1275227, 0.7871798
166.2, -0.1287738, 0.7865478
166.25, -0.1287738, 0.7865478
166.4, -0.1300249, 0.7855998
166.45, -0.1300249, 0.7854418
166.5, -0.1306504, 0.7852838
166.6, -0.1319015, 0.7851258
166.75, -0.1331526, 0.7843359
166.8, -0.1331526, 0.7838619
166.95, -0.1344037, 0.7832299
167, -0.1350293, 0.7829139
167.1, -0.1362804, 0.7824399
167.2, -0.1362804, 0.7822819
167.3, -0.1375315, 0.7818079
167.35, -0.138157, 0.7814919
167.5, -0.1394081, 0.7808599
167.55, -0.1400337, 0.780544
167.7, -0.1412848, 0.7799119
167.75, -0.1419103, 0.779596
167.8, -0.1425359, 0.779438
167.95, -0.1431614, 0.779122
168, -0.1425359, 0.779122
168.1, -0.143787, 0.77849
168.15, -0.1450381, 0.778016
168.3, -0.1462891, 0.7775421
168.4, -0.1469147, 0.7769101
168.5, -0.1469147, 0.7767521
168.6, -0.1481658, 0.776594
168.7, -0.1481658, 0.7761201
168.8, -0.1494169, 0.7754881
168.85, -0.1494169, 0.7754881
169, -0.150668, 0.7750141
169.05, -0.1512935, 0.7745401
169.2, -0.1525446, 0.7739081
169.25, -0.1531702, 0.7735921
169.35, -0.1544213, 0.7732762
169.45, -0.1544213, 0.7729601
169.55, -0.1556724, 0.7726442
169.65, -0.1556724, 0.7723281
169.75, -0.157549, 0.7715382
169.8, -0.157549, 0.7715382
169.9, -0.1581746, 0.7713802
170, -0.1594257, 0.7709062
170.05, -0.1600512, 0.7704322
170.2, -0.1606768, 0.7699583
170.25, -0.1613023, 0.7698002
170.35, -0.1625534, 0.7691682
170.5, -0.1638045, 0.7685363
170.55, -0.1644301, 0.7682202
170.6, -0.1650556, 0.7679043
170.75, -0.1656812, 0.7674303
