Experiment:, Load
Start date:, ?ter? 21. b?ezna 2023
Start time:, 12:04:46 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
252.1, 0.03512011, 1.115495
252.2, 0.03574566, 1.183749
252.3, -0.1262716, 1.108543
252.35, -0.001161743, 0.9388556
252.5, -0.00178729, 0.966031
252.65, -0.003038393, 0.9642929
252.7, -0.003038393, 0.962555
252.8, -0.00366394, 0.9573411
252.85, -0.004289486, 0.9505473
253, -0.006166136, 0.9307979
253.05, -0.006166136, 0.925584
253.1, -0.006791682, 0.9197382
253.25, -0.008042786, 0.9101005
253.4, -0.009293883, 0.9022006
253.45, -0.009919429, 0.8999887
253.5, -0.01054498, 0.8982507
253.6, -0.01117053, 0.8946168
253.75, -0.01242163, 0.8917729
253.8, -0.01304718, 0.890193
253.95, -0.01429828, 0.8875071
254, -0.01429828, 0.886243
254.15, -0.01554937, 0.8840311
254.2, -0.01554937, 0.8833992
254.25, -0.01617493, 0.8827672
254.35, -0.01617493, 0.8821352
254.5, -0.01742602, 0.8808712
254.55, -0.01742602, 0.8805552
254.65, -0.01867712, 0.8789753
254.75, -0.01867712, 0.8778693
254.9, -0.02117932, 0.8761314
254.95, -0.02055377, 0.8756573
255.05, -0.02243042, 0.8740774
255.1, -0.02243042, 0.8740774
255.25, -0.02368151, 0.8732874
255.35, -0.02305596, 0.8728135
255.45, -0.02493261, 0.8717075
255.5, -0.02493261, 0.8713915
255.6, -0.02680926, 0.8696535
255.7, -0.02680926, 0.8694955
255.85, -0.02743481, 0.8685476
255.95, -0.02806036, 0.8680736
256.05, -0.02868591, 0.8671256
256.2, -0.03118811, 0.8661776
256.25, -0.03056256, 0.8658617
256.4, -0.03243921, 0.8649137
256.45, -0.03243921, 0.8649137
256.55, -0.0336903, 0.8639656
256.6, -0.03431586, 0.8634917
256.75, -0.03556695, 0.8625437
256.8, -0.03619251, 0.8622277
256.85, -0.03681805, 0.8619117
257, -0.0374436, 0.8611218
257.15, -0.0386947, 0.8600158
257.2, -0.03932025, 0.8593838
257.25, -0.03994579, 0.8592258
257.35, -0.04119689, 0.8584358
257.4, -0.04182244, 0.8576458
257.55, -0.04182244, 0.8573298
257.7, -0.04307353, 0.8568559
257.75, -0.04307353, 0.8568559
257.85, -0.04495018, 0.8557499
257.95, -0.04495018, 0.8554339
258.05, -0.04620128, 0.8544859
258.1, -0.04620128, 0.85417
258.2, -0.04745239, 0.853854
258.3, -0.04745239, 0.85338
258.4, -0.04870348, 0.85259
258.5, -0.04995458, 0.852274
258.55, -0.05058013, 0.851958
258.7, -0.05058013, 0.852116
258.75, -0.05183123, 0.851326
258.85, -0.05308233, 0.8502201
258.95, -0.05370788, 0.8502201
259.05, -0.05370788, 0.8500621
259.15, -0.05433342, 0.8499041
259.25, -0.05558453, 0.8491141
259.35, -0.05683562, 0.8483241
259.45, -0.05683562, 0.8480082
259.55, -0.05871227, 0.8475341
259.6, -0.05933782, 0.8472181
259.75, -0.05996337, 0.8469021
259.8, -0.05996337, 0.8465861
259.95, -0.06121447, 0.8461121
260, -0.06184002, 0.8457962
260.15, -0.06309112, 0.8451642
260.2, -0.06371667, 0.8451642
260.3, -0.06434221, 0.8445322
260.35, -0.06496777, 0.8439003
260.5, -0.06559331, 0.8437423
260.55, -0.06496777, 0.8437423
260.7, -0.06684442, 0.8432683
260.75, -0.06684442, 0.8431103
260.85, -0.06872107, 0.8423203
260.95, -0.06872107, 0.8421623
261.05, -0.06997216, 0.8418462
261.1, -0.06997216, 0.8418462
261.2, -0.07122325, 0.8412143
261.3, -0.07122325, 0.8408983
