Experiment:, Load
Start date:, st?eda 22. b?ezna 2023
Start time:, 10:03:17 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
318.1, 0.01948138, 1.16005
318.25, 0.02010693, 1.261325
318.3, -0.07497655, 1.129398
318.35, -0.002412841, 0.924162
318.5, -0.003038393, 0.9495994
318.65, -0.004289486, 0.9368017
318.7, -0.004289486, 0.9341158
318.75, -0.005540589, 0.926848
318.85, -0.005540589, 0.9118384
318.95, -0.006791682, 0.9025166
319.05, -0.007417239, 0.8944589
319.2, -0.008668332, 0.887191
319.25, -0.009293883, 0.8857691
319.35, -0.009919429, 0.8811872
319.45, -0.01117053, 0.8767633
319.55, -0.01054498, 0.8753414
319.6, -0.01117053, 0.8742354
319.75, -0.01304718, 0.8707595
319.8, -0.01242163, 0.8698115
319.95, -0.01429828, 0.8664936
320, -0.01429828, 0.8658617
320.05, -0.01492382, 0.8645976
320.2, -0.01554937, 0.8630177
320.25, -0.01617493, 0.8625437
320.35, -0.01617493, 0.8614377
320.5, -0.01867712, 0.8584358
320.55, -0.01867712, 0.8585938
320.7, -0.01992822, 0.8565399
320.75, -0.01992822, 0.8565399
320.9, -0.02117932, 0.8559079
320.95, -0.02117932, 0.8551179
321, -0.02243042, 0.853696
321.1, -0.02305596, 0.8530639
321.25, -0.02493261, 0.851168
321.3, -0.02493261, 0.850536
321.4, -0.02618371, 0.8495881
321.5, -0.02618371, 0.849746
321.6, -0.02680926, 0.8484821
321.7, -0.02806036, 0.8473761
321.8, -0.02931145, 0.8461121
321.85, -0.02931145, 0.8454802
321.95, -0.03056256, 0.8450062
322.05, -0.03181365, 0.8442162
322.2, -0.03306475, 0.8423203
322.25, -0.03306475, 0.8421623
322.4, -0.03431586, 0.8416883
322.45, -0.0336903, 0.8418462
322.55, -0.0349414, 0.8407403
322.6, -0.03556695, 0.8405823
322.75, -0.03681805, 0.8394763
322.8, -0.03681805, 0.8391604
322.95, -0.0374436, 0.8385284
323, -0.03806914, 0.8382124
323.15, -0.03932025, 0.8367904
323.2, -0.03994579, 0.8361584
323.25, -0.04057134, 0.8355264
323.35, -0.04057134, 0.8355264
323.4, -0.04119689, 0.8356844
323.55, -0.04182244, 0.8348945
323.7, -0.04369909, 0.8337885
323.75, -0.04369909, 0.8328406
323.8, -0.04432464, 0.8323665
323.95, -0.04495018, 0.8315766
324.05, -0.04557574, 0.8301546
324.1, -0.04557574, 0.8303126
324.2, -0.04745239, 0.8293646
324.3, -0.04745239, 0.8290486
324.4, -0.04870348, 0.8285747
324.5, -0.04870348, 0.8279427
324.65, -0.04995458, 0.8268367
324.7, -0.05058013, 0.8265207
324.8, -0.05183123, 0.8255727
324.85, -0.05183123, 0.8254148
324.95, -0.05308233, 0.8247827
325.05, -0.05308233, 0.8244667
325.1, -0.05433342, 0.8243088
325.25, -0.05433342, 0.8232028
325.4, -0.05621007, 0.8222548
325.45, -0.05683562, 0.8220968
325.55, -0.05808672, 0.8216228
325.6, -0.05808672, 0.8213068
325.75, -0.05933782, 0.8206749
325.8, -0.05871227, 0.8205169
325.95, -0.06058892, 0.8192528
326, -0.06058892, 0.8187789
326.1, -0.06184002, 0.8187789
326.2, -0.06184002, 0.8178309
326.35, -0.06246556, 0.8178309
326.45, -0.06371667, 0.8171989
326.55, -0.06371667, 0.817041
326.6, -0.06496777, 0.8165669
326.75, -0.06559331, 0.816251
326.85, -0.06684442, 0.815303
326.95, -0.06746996, 0.8148291
327, -0.06872107, 0.8143551
327.1, -0.0693466, 0.813881
327.15, -0.06997216, 0.813407
327.3, -0.07122325, 0.8127751
327.45, -0.07247435, 0.8124591
327.5, -0.07247435, 0.8121431
327.65, -0.074351, 0.8110371
327.7, -0.07497655, 0.8108791
327.75, -0.07560209, 0.8105631
327.85, -0.07560209, 0.8102471
327.95, -0.0768532, 0.8096152
328.05, -0.0768532, 0.8094572
328.1, -0.07747874, 0.8094572
328.25, -0.07747874, 0.8088252
328.4, -0.07935539, 0.8080352
328.45, -0.07998095, 0.8077192
328.5, -0.08060649, 0.8075612
328.6, -0.0818576, 0.8066132
328.7, -0.08248314, 0.8066132
328.8, -0.08310869, 0.8061392
328.95, -0.08435979, 0.8056653
329, -0.08435979, 0.8055072
329.1, -0.08561088, 0.8048753
329.2, -0.08686198, 0.8042433
329.35, -0.08748753, 0.8037694
329.45, -0.08873863, 0.8034533
329.55, -0.08998973, 0.8028213
329.7, -0.09124083, 0.8018733
329.75, -0.09124083, 0.8018733
329.85, -0.09249193, 0.8015574
329.95, -0.09249193, 0.8010834
330.05, -0.09374303, 0.8007674
330.1, -0.09374303, 0.8006094
330.25, -0.09561968, 0.8001354
330.3, -0.09499412, 0.8001354
330.45, -0.09687077, 0.7991874
330.5, -0.09749633, 0.7990295
330.6, -0.09874742, 0.7982395
