Experiment:, Load
Start date:, ?ter? 16. kv?tna 2023
Start time:, 11:44:05 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
400.2, 0.03449456, 1.289132
400.3, -0.1431614, 1.194177
400.5, -0.006791682, 0.9462814
400.8, -0.009293883, 0.92669
400.85, -0.009293883, 0.9205281
401.2, -0.01242163, 0.886085
401.25, -0.01304718, 0.8826092
401.55, -0.01492382, 0.8717075
401.6, -0.01492382, 0.8707595
401.9, -0.01742602, 0.8636497
402, -0.01742602, 0.8631757
402.3, -0.02055377, 0.8565399
402.35, -0.02117932, 0.8563819
402.7, -0.02368151, 0.852748
402.75, -0.02368151, 0.8529059
403.05, -0.02743481, 0.8483241
403.1, -0.02806036, 0.8473761
403.4, -0.02993701, 0.8454802
403.5, -0.02993701, 0.8451642
403.8, -0.03243921, 0.8427943
403.85, -0.03306475, 0.8418462
404.2, -0.03556695, 0.8394763
404.25, -0.03619251, 0.8391604
404.55, -0.03806914, 0.8372644
404.6, -0.0386947, 0.8371064
404.95, -0.04057134, 0.8353685
405, -0.04119689, 0.8345785
405.3, -0.04369909, 0.8331565
405.35, -0.04369909, 0.8329985
405.6, -0.04620128, 0.8304706
405.75, -0.04745239, 0.8296806
406, -0.04995458, 0.8277847
406.1, -0.05058013, 0.8271527
406.4, -0.05308233, 0.8258888
406.5, -0.05433342, 0.8255727
406.8, -0.05683562, 0.8239927
406.85, -0.05683562, 0.8238348
407.15, -0.05933782, 0.8232028
407.25, -0.05933782, 0.8227288
407.55, -0.06184002, 0.8211489
407.6, -0.06246556, 0.8205169
407.95, -0.06496777, 0.8195689
408, -0.06496777, 0.8194109
408.2, -0.06746996, 0.8181469
408.35, -0.06809551, 0.8178309
408.7, -0.07122325, 0.816725
408.75, -0.07122325, 0.8165669
409, -0.0730999, 0.815461
409.1, -0.07372544, 0.815619
409.3, -0.07560209, 0.814513
409.5, -0.07560209, 0.8143551
409.8, -0.07872984, 0.8132491
409.85, -0.07872984, 0.812933
410.2, -0.08310869, 0.8110371
410.25, -0.08310869, 0.8108791
410.5, -0.08561088, 0.8099312
410.6, -0.08623644, 0.8094572
410.95, -0.08936418, 0.8085092
411, -0.08998973, 0.8081931
411.25, -0.09124083, 0.8075612
411.35, -0.09186638, 0.8074032
411.7, -0.09499412, 0.8064553
411.75, -0.09499412, 0.8066132
412.05, -0.09812186, 0.8051913
412.1, -0.09874742, 0.8050333
412.4, -0.1006241, 0.8042433
412.5, -0.1012496, 0.8040853
412.75, -0.1037518, 0.8032954
412.85, -0.1050029, 0.8031374
413.2, -0.1081306, 0.8021894
413.25, -0.1081306, 0.8023473
413.55, -0.1106329, 0.8015574
413.6, -0.1112584, 0.8010834
413.95, -0.1137606, 0.8004514
414, -0.1137606, 0.8002934
414.3, -0.1162628, 0.7996615
414.35, -0.1168883, 0.7993454
414.7, -0.1200161, 0.7983975
414.75, -0.1200161, 0.7982395
415.05, -0.1225183, 0.7976075
415.1, -0.1225183, 0.7974495
415.45, -0.125646, 0.7965015
415.5, -0.125646, 0.7963435
415.8, -0.1281482, 0.7958695
415.85, -0.1281482, 0.7958695
416.2, -0.1319015, 0.7949216
416.25, -0.1325271, 0.7947636
416.55, -0.1344037, 0.7941316
416.6, -0.1350293, 0.7939736
416.95, -0.1375315, 0.7934996
417.05, -0.138157, 0.7933416
417.3, -0.1406592, 0.7922357
417.4, -0.1400337, 0.7922357
417.55, -0.1419103, 0.7919196
417.75, -0.1425359, 0.7917617
418.05, -0.1456636, 0.7908136
418.1, -0.1462891, 0.7908136
418.4, -0.1481658, 0.7903396
418.5, -0.1481658, 0.7901817
418.75, -0.150668, 0.7895497
418.85, -0.150668, 0.7893917
419.1, -0.1531702, 0.7886018
419.25, -0.1544213, 0.7886018
419.45, -0.1569235, 0.7881277
419.6, -0.1581746, 0.7878118
419.95, -0.1613023, 0.7868638
420, -0.1619279, 0.7868638
420.3, -0.1638045, 0.7862318
420.35, -0.1638045, 0.7862318
420.65, -0.1663067, 0.7855998
420.75, -0.1675578, 0.7852838
421.05, -0.17006, 0.7848098
421.1, -0.17006, 0.7846518
421.45, -0.1731878, 0.7841778
421.5, -0.1725622, 0.7840198
421.8, -0.1756899, 0.7832299
421.85, -0.1763155, 0.7832299
422.15, -0.1781922, 0.7824399
422.25, -0.1781922, 0.7824399
422.55, -0.1813199, 0.7818079
422.6, -0.1819454, 0.7818079
422.95, -0.1838221, 0.7808599
423, -0.1838221, 0.781018
423.2, -0.1863243, 0.780544
423.35, -0.1869498, 0.7803859
423.7, -0.1900776, 0.7799119
423.75, -0.1900776, 0.7797539
424.05, -0.1925798, 0.7792799
424.1, -0.1938309, 0.779122
424.45, -0.1957076, 0.77849
424.5, -0.1957076, 0.77849
424.75, -0.1982097, 0.7777
424.85, -0.1982097, 0.7775421
425.2, -0.201963, 0.7769101
425.25, -0.2025886, 0.7767521
425.55, -0.2057163, 0.7762781
425.6, -0.2057163, 0.7761201
425.95, -0.2082185, 0.7754881
426, -0.207593, 0.7754881
426.25, -0.2100952, 0.7751721
426.35, -0.2107207, 0.7750141
426.7, -0.2132229, 0.7745401
426.75, -0.2138485, 0.7743821
427.05, -0.2163507, 0.7737501
427.1, -0.2169762, 0.7735921
427.45, -0.2194784, 0.7732762
427.5, -0.2194784, 0.7731181
427.75, -0.2226062, 0.7726442
427.85, -0.2232317, 0.7724862
428.2, -0.2263595, 0.7718542
428.25, -0.2263595, 0.7716962
428.55, -0.2288617, 0.7712222
428.6, -0.2294872, 0.7710642
428.9, -0.2319894, 0.7705902
429, -0.2319894, 0.7705902
429.25, -0.233866, 0.7699583
429.35, -0.2351171, 0.7698002
429.7, -0.2376193, 0.7691682
429.75, -0.2382449, 0.7691682
429.95, -0.2401216, 0.7688522
430.1, -0.2413726, 0.7685363
430.4, -0.2438748, 0.7680623
430.5, -0.2445004, 0.7679043
430.75, -0.246377, 0.7674303
430.85, -0.2470026, 0.7675883
431.15, -0.2501303, 0.7669563
431.25, -0.2501303, 0.7667983
431.55, -0.2532581, 0.7663243
431.6, -0.2532581, 0.7661663
431.9, -0.2557603, 0.7658504
432, -0.2563858, 0.7656924
432.3, -0.258888, 0.7650604
432.35, -0.258888, 0.7649024
432.7, -0.2620158, 0.7642704
432.75, -0.2620158, 0.7642704
