Experiment:, Load
Start date:, p?tek 21. ?ervence 2023
Start time:, 11:07:25 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.1, 0.01195939, 1.047715
300.15, 0.01208448, 1.068096
300.2, 0.01220957, 1.08674
300.25, 0.01220957, 1.101907
300.3, -0.02206479, 0.9458075
300.35, -0.01668597, 0.9020426
300.4, -0.01130714, 0.8802392
300.45, -0.008305011, 0.8818192
300.5, -0.006678855, 0.8859271
300.55, -0.005865777, 0.888771
300.6, -0.0056156, 0.889877
300.65, -0.0056156, 0.890193
300.7, -0.005803232, 0.889561
300.75, -0.005990865, 0.888455
300.8, -0.006303589, 0.887191
300.85, -0.0067414, 0.8854531
300.9, -0.007054121, 0.8841891
300.95, -0.007429389, 0.8827672
301, -0.00774211, 0.8811872
301.05, -0.008117377, 0.8797652
301.1, -0.008617731, 0.8785013
301.15, -0.008930455, 0.8772373
301.2, -0.009305722, 0.8761314
301.25, -0.009806077, 0.8748674
301.3, -0.01018134, 0.8734454
301.35, -0.01061915, 0.8724974
301.4, -0.01099442, 0.8712335
301.45, -0.01143223, 0.8704435
301.5, -0.01187004, 0.8691795
301.55, -0.01224531, 0.8682315
301.6, -0.01262058, 0.8672836
301.65, -0.01299584, 0.8663356
301.7, -0.01337111, 0.8653877
301.75, -0.01380892, 0.8644397
301.8, -0.01412164, 0.8633337
301.85, -0.01455945, 0.8625437
301.9, -0.01487218, 0.8615957
301.95, -0.01537253, 0.8608057
302, -0.0157478, 0.8598578
302.05, -0.01618561, 0.8589098
302.1, -0.01656088, 0.8581198
302.15, -0.0168736, 0.8571718
302.2, -0.01731141, 0.8563819
302.25, -0.01768668, 0.8555919
302.3, -0.01812449, 0.854802
302.35, -0.01849975, 0.854012
302.4, -0.01893756, 0.853222
302.45, -0.01937538, 0.852432
302.5, -0.01975064, 0.851642
302.55, -0.02012591, 0.850852
302.6, -0.02056372, 0.8502201
302.65, -0.02093899, 0.8495881
302.7, -0.02131425, 0.8487981
302.75, -0.02168952, 0.8481661
302.8, -0.02212733, 0.8473761
302.85, -0.02256514, 0.8465861
302.9, -0.02300295, 0.8459542
302.95, -0.02337822, 0.8453222
303, -0.02381603, 0.8445322
303.05, -0.0241913, 0.8439003
303.1, -0.02456657, 0.8432683
303.15, -0.02500437, 0.8426363
303.2, -0.02544219, 0.8418462
303.25, -0.02581745, 0.8410563
303.3, -0.02631781, 0.8404243
303.35, -0.02663054, 0.8397923
303.4, -0.0270058, 0.8393183
303.45, -0.02738106, 0.8386863
303.5, -0.02788142, 0.8380544
303.55, -0.02825669, 0.8374224
303.6, -0.02863195, 0.8367904
303.65, -0.02906977, 0.8361584
303.7, -0.02938249, 0.8355264
303.75, -0.02975775, 0.8348945
303.8, -0.03019557, 0.8342625
303.85, -0.03063338, 0.8334725
303.9, -0.03100864, 0.8328406
303.95, -0.03138391, 0.8318925
304, -0.03175918, 0.8312606
304.05, -0.03213444, 0.8304706
304.1, -0.03250971, 0.8296806
304.15, -0.03294752, 0.8290486
304.2, -0.03332278, 0.8284166
304.25, -0.03369805, 0.8277847
304.3, -0.03413587, 0.8274687
304.35, -0.03451113, 0.8268367
304.4, -0.03501149, 0.8262047
304.45, -0.03538675, 0.8257307
304.5, -0.03576202, 0.8250987
304.55, -0.03613729, 0.8246247
304.6, -0.03651255, 0.8241507
304.65, -0.03695037, 0.8235188
304.7, -0.03738818, 0.8228868
304.75, -0.0377009, 0.8224128
304.8, -0.03820126, 0.8219388
304.85, -0.03863907, 0.8214648
304.9, -0.03901433, 0.8208328
304.95, -0.03945215, 0.8203589
305, -0.03976487, 0.8198849
305.05, -0.04020267, 0.8192528
305.1, -0.04064048, 0.8187789
305.15, -0.0410783, 0.8181469
305.2, -0.04145356, 0.8176729
305.25, -0.04182883, 0.8171989
305.3, -0.04226665, 0.816725
305.35, -0.04264191, 0.816251
305.4, -0.04301718, 0.815777
305.45, -0.04339244, 0.815145
305.5, -0.0438928, 0.814671
305.55, -0.04426807, 0.8141971
305.6, -0.04464334, 0.813723
305.65, -0.04495605, 0.8132491
305.7, -0.04539387, 0.8127751
305.75, -0.04595677, 0.8124591
305.8, -0.04626948, 0.8118271
305.85, -0.0467073, 0.8113531
305.9, -0.04708256, 0.8108791
305.95, -0.04745783, 0.8102471
306, -0.0478331, 0.8099312
306.05, -0.04833346, 0.8094572
306.1, -0.04864617, 0.8089832
306.15, -0.04908399, 0.8085092
306.2, -0.0495218, 0.8080352
306.25, -0.04989707, 0.8075612
306.3, -0.05033488, 0.8072452
306.35, -0.05071014, 0.8066132
306.4, -0.05114796, 0.8061392
306.45, -0.05158576, 0.8058233
306.5, -0.05202357, 0.8053493
306.55, -0.05246139, 0.8048753
306.6, -0.05283665, 0.8045593
306.65, -0.05327447, 0.8039273
306.7, -0.05364974, 0.8036113
306.75, -0.05408755, 0.8031374
306.8, -0.05446281, 0.8026633
306.85, -0.05490062, 0.8021894
306.9, -0.05533843, 0.8018733
306.95, -0.05577624, 0.8012414
307, -0.05615151, 0.8007674
307.05, -0.05652678, 0.8004514
307.1, -0.05696459, 0.7999774
307.15, -0.05727731, 0.7996615
307.2, -0.05765258, 0.7991874
307.25, -0.05809039, 0.7987134
307.3, -0.05840311, 0.7982395
307.35, -0.05890347, 0.7979235
307.4, -0.05934128, 0.7974495
307.45, -0.05971654, 0.7968175
307.5, -0.06009181, 0.7965015
307.55, -0.06052962, 0.7960275
307.6, -0.06096743, 0.7955535
307.65, -0.06140525, 0.7952375
307.7, -0.06178051, 0.7947636
307.75, -0.06215578, 0.7944475
307.8, -0.06253104, 0.7941316
307.85, -0.06296885, 0.7936576
307.9, -0.06340667, 0.7931836
307.95, -0.06378193, 0.7928676
308, -0.0641572, 0.7923936
308.05, -0.06459501, 0.7919196
308.1, -0.06497028, 0.7914456
308.15, -0.06540809, 0.7911296
308.2, -0.06578336, 0.7906557
308.25, -0.06615862, 0.7903396
308.3, -0.06659643, 0.7898657
308.35, -0.0669717, 0.7895497
308.4, -0.06740951, 0.7889177
308.45, -0.06778478, 0.7886018
308.5, -0.06816004, 0.7882857
308.55, -0.0686604, 0.7878118
308.6, -0.06909821, 0.7874958
308.65, -0.06941093, 0.7871798
308.7, -0.0697862, 0.7867058
308.75, -0.07022401, 0.7863898
308.8, -0.07059928, 0.7859158
308.85, -0.07097455, 0.7855998
308.9, -0.07141235, 0.7852838
308.95, -0.07178762, 0.7848098
309, -0.07222543, 0.7844938
309.05, -0.0726007, 0.7841778
309.1, -0.07291342, 0.7837039
309.15, -0.07335124, 0.7833878
309.2, -0.07378904, 0.7829139
309.25, -0.07416431, 0.7825979
309.3, -0.07460212, 0.7822819
309.35, -0.07497739, 0.7818079
309.4, -0.07535266, 0.7814919
309.45, -0.07579047, 0.781176
309.5, -0.07616573, 0.780702
309.55, -0.07660355, 0.7803859
309.6, -0.07697881, 0.7800699
309.65, -0.07747916, 0.7797539
309.7, -0.07779189, 0.7792799
309.75, -0.07829224, 0.778964
309.8, -0.07866751, 0.778806
309.85, -0.07904277, 0.778174
309.9, -0.07941804, 0.777858
309.95, -0.07985585, 0.777384
310, -0.08016858, 0.7769101
310.05, -0.08066894, 0.776594
310.1, -0.0810442, 0.7762781
310.15, -0.08148201, 0.7759621
310.2, -0.08173219, 0.7754881
310.25, -0.08223254, 0.7751721
310.3, -0.08267035, 0.7746981
310.35, -0.08310817, 0.7742241
310.4, -0.08342089, 0.7739081
310.45, -0.0838587, 0.7735921
310.5, -0.08429651, 0.7732762
310.55, -0.08454669, 0.7729601
310.6, -0.0849845, 0.7724862
310.65, -0.08542231, 0.7721702
310.7, -0.08573503, 0.7718542
310.75, -0.08617285, 0.7715382
310.8, -0.08654811, 0.7710642
310.85, -0.08698592, 0.7705902
310.9, -0.08736119, 0.7704322
310.95, -0.087799, 0.7699583
311, -0.08829936, 0.7696423
311.05, -0.08861207, 0.7691682
311.1, -0.08898734, 0.7688522
311.15, -0.08948771, 0.7685363
311.2, -0.08980042, 0.7682202
311.25, -0.0901757, 0.7679043
311.3, -0.09055096, 0.7675883
311.35, -0.09092622, 0.7672723
311.4, -0.09130148, 0.7669563
311.45, -0.09173929, 0.7666403
311.5, -0.09217711, 0.7663243
311.55, -0.09255238, 0.7658504
311.6, -0.09299019, 0.7655343
311.65, -0.09336546, 0.7652184
311.7, -0.09367817, 0.7649024
311.75, -0.09405345, 0.7645864
311.8, -0.09449126, 0.7642704
311.85, -0.09492907, 0.7637964
311.9, -0.09536687, 0.7634804
311.95, -0.09574214, 0.7631644
312, -0.09611741, 0.7628484
312.05, -0.09655521, 0.7625324
312.1, -0.09693048, 0.7622164
312.15, -0.09736831, 0.7617425
312.2, -0.09774355, 0.7614264
312.25, -0.09811883, 0.7611105
312.3, -0.09855664, 0.7607945
312.35, -0.09893189, 0.7604785
312.4, -0.09936971, 0.7600045
312.45, -0.09980752, 0.7596885
312.5, -0.1001828, 0.7593725
312.55, -0.1004955, 0.7590566
312.6, -0.1008708, 0.7585826
312.65, -0.101246, 0.7582666
312.7, -0.1016213, 0.7579505
312.75, -0.1021842, 0.7576345
312.8, -0.1025595, 0.7574766
312.85, -0.1029973, 0.7571605
312.9, -0.1033726, 0.7568446
312.95, -0.1037478, 0.7565286
313, -0.1041856, 0.7562126
313.05, -0.1045609, 0.7558966
313.1, -0.1049362, 0.7554227
313.15, -0.105374, 0.7551066
313.2, -0.1057492, 0.7547907
313.25, -0.1061245, 0.7544746
313.3, -0.1065623, 0.7541587
313.35, -0.106875, 0.7536847
313.4, -0.1073129, 0.7533687
313.45, -0.1076881, 0.7532107
313.5, -0.1081259, 0.7527367
313.55, -0.1085637, 0.7524207
313.6, -0.108939, 0.7521047
313.65, -0.1093768, 0.7517887
313.7, -0.1096895, 0.7514727
313.75, -0.1101274, 0.7511567
313.8, -0.1105652, 0.7508407
313.85, -0.1109404, 0.7505248
