Experiment:, Load
Start date:, ?tvrtek 27. ?ervence 2023
Start time:, 10:08:01 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
181, -0.000899557, 0.9478614
182, -0.001056196, 0.9434376
183, -0.001344413, 0.9383817
184, -0.001595035, 0.9333258
185, -0.001914579, 0.9284279
186, -0.002340638, 0.9233721
187, -0.002779228, 0.9184742
188, -0.003305536, 0.9134184
189, -0.003888234, 0.9086785
190, -0.004646368, 0.9036226
191, -0.005454627, 0.8984088
192, -0.006400728, 0.8935109
193, -0.007396954, 0.888771
194, -0.008650068, 0.8837152
195, -0.009878119, 0.8785013
196, -0.011338, 0.8737614
197, -0.01298584, 0.8687055
198, -0.01480912, 0.8634917
199, -0.01684543, 0.8584358
200, -0.01898199, 0.85338
201, -0.02134411, 0.8484821
202, -0.02400698, 0.8435842
203, -0.02665732, 0.8385284
204, -0.0296084, 0.8333145
205, -0.03279757, 0.8273107
206, -0.03624991, 0.8224128
207, -0.03978996, 0.8173569
208, -0.04373726, 0.8123011
209, -0.04762818, 0.8072452
210, -0.05200155, 0.8025053
211, -0.05675085, 0.7974495
212, -0.06135605, 0.7923936
213, -0.06664419, 0.7873378
214, -0.071901, 0.7822819
215, -0.07735832, 0.7775421
216, -0.08305372, 0.7724862
217, -0.08900601, 0.7674303
218, -0.09500216, 0.7625324
219, -0.1012615, 0.7576345
220, -0.1075709, 0.7525787
221, -0.1142249, 0.7476808
222, -0.1209416, 0.742625
223, -0.1279525, 0.7378851
224, -0.1349575, 0.7326713
225, -0.1422127, 0.7274574
226, -0.1492802, 0.7227175
227, -0.1566604, 0.7178196
228, -0.1642908, 0.7124478
229, -0.171546, 0.707866
230, -0.1794266, 0.70281
231, -0.1873072, 0.6975962
232, -0.1948751, 0.6926984
233, -0.2027557, 0.6876425
234, -0.2105112, 0.6827446
235, -0.2182667, 0.6776887
236, -0.2260848, 0.6726329
237, -0.2335901, 0.667893
238, -0.241158, 0.6628371
239, -0.2488509, 0.6576233
240, -0.255981, 0.6528834
241, -0.2633613, 0.6478276
242, -0.270804, 0.6427717
243, -0.2776839, 0.6378738
244, -0.2850016, 0.63266
245, -0.2923193, 0.6276041
246, -0.2991992, 0.6227062
247, -0.305954, 0.6178084
248, -0.312959, 0.6125945
249, -0.3194636, 0.6078547
250, -0.3263435, 0.6027988
251, -0.3327856, 0.5975849
252, -0.33904, 0.5925291
253, -0.3449817, 0.5876312
254, -0.3506107, 0.5828913
255, -0.3564899, 0.5776774
256, -0.3619313, 0.5727795
257, -0.3676228, 0.5677238
258, -0.3722511, 0.5628259
259, -0.3773798, 0.55777
260, -0.3822582, 0.5527142
261, -0.3870116, 0.5478163
262, -0.3915773, 0.5429184
263, -0.3960806, 0.5380206
264, -0.4005837, 0.5329646
265, -0.4047117, 0.5282248
266, -0.408777, 0.5230109
267, -0.4129675, 0.5179551
268, -0.4169078, 0.5117933
269, -0.420723, 0.5065793
270, -0.4244757, 0.5019975
271, -0.4279782, 0.4969417
272, -0.431981, 0.4918858
273, -0.4351708, 0.4869879
274, -0.4382355, 0.4819321
275, -0.4412376, 0.4770342
276, -0.4443023, 0.4719783
277, -0.4472419, 0.4667645
278, -0.4500564, 0.4620246
279, -0.4525582, 0.4571267
280, -0.455185, 0.4519129
281, -0.4576242, 0.447015
282, -0.4600635, 0.4419591
283, -0.4624402, 0.4370613
284, -0.4646918, 0.4320054
285, -0.4668808, 0.4269496
286, -0.469195, 0.4220517
287, -0.4711339, 0.4169958
288, -0.4731353, 0.41194
289, -0.4750116, 0.4070421
290, -0.4768254, 0.4021442
291, -0.4792021, 0.3969304
292, -0.4803905, 0.3921905
293, -0.4820792, 0.3869767
294, -0.4837678, 0.3822368
295, -0.4854565, 0.3770229
296, -0.4869576, 0.372125
297, -0.4885212, 0.3670692
298, -0.4900223, 0.3620133
299, -0.4912732, 0.3572734
300, -0.4927743, 0.3522176
301, -0.4942128, 0.3473197
302, -0.4957764, 0.3422638
303, -0.5105994, 0.337366
304, -0.5152903, 0.3323101
305, -0.5158532, 0.3272542
306, -0.5165412, 0.3223564
307, -0.5181673, 0.3174585
308, -0.5195433, 0.3122447
309, -0.5214822, 0.3070308
310, -0.5238588, 0.3022909
311, -0.5262355, 0.2973931
312, -0.5285497, 0.2924952
313, -0.5314267, 0.2872813
314, -0.5338034, 0.2822255
315, -0.5362426, 0.2773276
316, -0.5388695, 0.2722718
317, -0.5414338, 0.2675319
318, -0.5442484, 0.262318
319, -0.5467501, 0.2574202
320, -0.5498148, 0.2523643
321, -0.5521289, 0.2476244
322, -0.5550686, 0.2427265
323, -0.5583208, 0.2367613
324, -0.5617607, 0.2317101
325, -0.5650756, 0.226722
326, -0.5681403, 0.2216392
327, -0.5711424, 0.2167774
328, -0.5742071, 0.2117261
329, -0.5772092, 0.2066906
330, -0.5802739, 0.2016236
