Experiment:, Load
Start date:, ?tvrtek 12. ??jna 2023
Start time:, 9:39:24 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.1, 0.01823028, 1.053403
300.3, -0.08936418, 1.036813
300.5, -0.006791682, 0.9605011
300.75, -0.009293883, 0.9527593
300.85, -0.009293883, 0.9470714
301.2, -0.01242163, 0.9228981
301.25, -0.01304718, 0.9191062
301.45, -0.01492382, 0.9112064
301.6, -0.01617493, 0.9058346
301.95, -0.01805157, 0.8987247
302, -0.01867712, 0.8977767
302.2, -0.02117932, 0.8935109
302.35, -0.02180487, 0.8917729
302.65, -0.02430707, 0.8857691
302.75, -0.02493261, 0.8856111
303.05, -0.02806036, 0.8818192
303.1, -0.02806036, 0.8815032
303.4, -0.03056256, 0.8785013
303.5, -0.03056256, 0.8772373
303.8, -0.03306475, 0.8745514
303.85, -0.03306475, 0.8742354
304.2, -0.03619251, 0.8712335
304.3, -0.03619251, 0.8709175
304.55, -0.0386947, 0.8688635
304.6, -0.0386947, 0.8685476
304.95, -0.04119689, 0.8660197
305, -0.04182244, 0.8655456
305.25, -0.04369909, 0.8634917
305.35, -0.04432464, 0.8633337
305.7, -0.04745239, 0.8612798
305.75, -0.04745239, 0.8608057
306, -0.04995458, 0.8589098
306.1, -0.04995458, 0.8589098
306.4, -0.05308233, 0.8573298
306.5, -0.05308233, 0.8568559
306.75, -0.05558453, 0.8557499
306.85, -0.05558453, 0.8554339
307.2, -0.05996337, 0.8530639
307.25, -0.06058892, 0.852748
307.55, -0.06246556, 0.851326
307.6, -0.06246556, 0.851168
307.85, -0.06496777, 0.8499041
308, -0.06621886, 0.8492721
308.3, -0.06872107, 0.8481661
308.35, -0.06872107, 0.8476921
308.6, -0.07122325, 0.8461121
308.75, -0.07184881, 0.8461121
309, -0.074351, 0.8448482
309.1, -0.074351, 0.8446902
309.45, -0.07747874, 0.8437423
309.5, -0.07747874, 0.8434262
309.8, -0.08060649, 0.8418462
309.85, -0.08060649, 0.8416883
310.2, -0.08435979, 0.8402663
310.25, -0.08435979, 0.8402663
310.55, -0.08623644, 0.8393183
310.6, -0.08623644, 0.8391604
310.85, -0.08873863, 0.8378964
311, -0.08936418, 0.8375804
311.3, -0.09124083, 0.8369485
311.35, -0.09124083, 0.8367904
311.7, -0.09436858, 0.8352104
311.75, -0.09436858, 0.8352104
312, -0.09749633, 0.8341045
312.1, -0.09812186, 0.8337885
312.45, -0.1006241, 0.8318925
312.5, -0.1006241, 0.8318925
312.8, -0.1043774, 0.8301546
312.85, -0.1043774, 0.8301546
313.2, -0.1075051, 0.8288906
313.25, -0.1075051, 0.8287326
313.4, -0.1093817, 0.8279427
313.6, -0.1106329, 0.8274687
313.9, -0.113135, 0.8265207
314, -0.1137606, 0.8263627
314.3, -0.1162628, 0.8255727
314.35, -0.1162628, 0.8252567
314.65, -0.1200161, 0.8241507
314.85, -0.1193905, 0.8244667
315, -0.1212672, 0.8236768
315.1, -0.1218927, 0.8233608
315.45, -0.1237694, 0.8225708
315.5, -0.1243949, 0.8225708
315.8, -0.1268971, 0.8214648
315.85, -0.1262716, 0.8214648
316.2, -0.1306504, 0.8202009
316.25, -0.1306504, 0.8202009
316.5, -0.1331526, 0.8192528
316.6, -0.1337782, 0.8190949
316.95, -0.1375315, 0.8178309
317, -0.1375315, 0.8178309
317.2, -0.1387826, 0.8171989
317.35, -0.1394081, 0.816883
317.7, -0.1431614, 0.815777
317.75, -0.143787, 0.815461
318.05, -0.1456636, 0.815145
318.1, -0.1462891, 0.8148291
318.35, -0.1481658, 0.8141971
318.5, -0.1494169, 0.813881
318.75, -0.1519191, 0.812933
318.85, -0.1519191, 0.812933
319.2, -0.1556724, 0.8121431
319.25, -0.1556724, 0.8121431
319.55, -0.1588001, 0.8111951
319.6, -0.1594257, 0.8110371
319.95, -0.1619279, 0.8102471
320, -0.1619279, 0.8100892
320.3, -0.1638045, 0.8096152
320.35, -0.1644301, 0.8096152
320.65, -0.1675578, 0.8089832
320.8, -0.1675578, 0.8086672
320.95, -0.17006, 0.8081931
321.1, -0.1706856, 0.8078772
321.45, -0.1744389, 0.8067712
321.5, -0.1738133, 0.8067712
321.7, -0.1756899, 0.8064553
321.85, -0.1763155, 0.8061392
322.1, -0.1794432, 0.8051913
322.25, -0.1794432, 0.8051913
322.55, -0.1831965, 0.8040853
322.6, -0.1831965, 0.8039273
322.9, -0.1856987, 0.8034533
323, -0.1863243, 0.8034533
323.3, -0.188201, 0.8026633
323.35, -0.188201, 0.8026633
323.7, -0.1907031, 0.8021894
323.75, -0.1913287, 0.8018733
324.05, -0.1938309, 0.8012414
324.1, -0.195082, 0.8009254
324.35, -0.1969586, 0.8006094
324.5, -0.1982097, 0.8006094
324.75, -0.2007119, 0.8012414
324.85, -0.2007119, 0.8009254
325.2, -0.2044652, 0.7998194
325.25, -0.2044652, 0.7995034
325.5, -0.2069674, 0.7987134
325.6, -0.2069674, 0.7985555
325.95, -0.2100952, 0.7974495
326, -0.2107207, 0.7974495
326.1, -0.2113463, 0.7971334
326.35, -0.2125974, 0.7965015
326.7, -0.2157251, 0.7952375
326.75, -0.2163507, 0.7952375
327, -0.2188529, 0.7946056
327.1, -0.2194784, 0.7944475
327.4, -0.2219806, 0.7939736
327.5, -0.2219806, 0.7938156
327.75, -0.2244828, 0.7930256
327.85, -0.2251084, 0.7928676
328.15, -0.2276105, 0.7922357
328.25, -0.2282361, 0.7922357
328.5, -0.2307383, 0.7916036
328.6, -0.2307383, 0.7914456
328.95, -0.233866, 0.7909716
329, -0.233866, 0.7909716
