Experiment:, Load
Start date:, p?tek 10. listopadu 2023
Start time:, 14:24:54 +01:00
Time (s), Current Density (A/cm2), Voltage (V)
150.15, 0.01072369, 1.061776
150.3, -0.05558453, 1.032389
150.45, -0.005540589, 0.9693488
150.65, -0.007417239, 0.961449
150.75, -0.007417239, 0.9505473
151, -0.01054498, 0.9180002
151.05, -0.01054498, 0.9112064
151.25, -0.01304718, 0.8925629
151.35, -0.01242163, 0.889877
151.6, -0.01492382, 0.8794492
151.7, -0.01492382, 0.8773953
151.95, -0.01742602, 0.8717075
152, -0.01805157, 0.8704435
152.25, -0.01992822, 0.8660197
152.3, -0.01992822, 0.8658617
152.5, -0.02243042, 0.8623857
152.6, -0.02305596, 0.8614377
152.85, -0.02555816, 0.8573298
152.9, -0.02493261, 0.8574879
153.2, -0.02743481, 0.85417
153.25, -0.02806036, 0.85338
153.5, -0.03056256, 0.851326
153.55, -0.03056256, 0.851326
153.8, -0.03243921, 0.8473761
153.85, -0.03306475, 0.8465861
154.1, -0.0349414, 0.8451642
154.15, -0.03556695, 0.8446902
154.3, -0.03681805, 0.8432683
154.45, -0.03681805, 0.8431103
154.75, -0.03994579, 0.8407403
154.8, -0.04057134, 0.8396344
155, -0.04244799, 0.8385284
155.1, -0.04244799, 0.8383704
155.35, -0.04495018, 0.8364744
155.4, -0.04557574, 0.8355264
155.65, -0.04682683, 0.8347365
155.7, -0.04682683, 0.8344205
155.95, -0.04995458, 0.8320506
156, -0.04995458, 0.8314186
156.15, -0.05183123, 0.8290486
156.35, -0.05308233, 0.8282586
156.6, -0.05495897, 0.8262047
156.65, -0.05558453, 0.8260467
156.9, -0.05746117, 0.8247827
156.95, -0.05808672, 0.8244667
157.2, -0.05933782, 0.8230448
157.25, -0.05933782, 0.8230448
157.45, -0.06184002, 0.8216228
157.55, -0.06246556, 0.8209909
157.85, -0.06434221, 0.8197268
157.9, -0.06496777, 0.8194109
158.15, -0.06746996, 0.817515
158.2, -0.06746996, 0.817515
158.4, -0.06809551, 0.816883
158.5, -0.0693466, 0.816409
158.65, -0.0705977, 0.815303
158.8, -0.07122325, 0.8148291
159.05, -0.07372544, 0.813565
159.15, -0.074351, 0.812933
159.35, -0.0768532, 0.8115111
159.45, -0.0768532, 0.8111951
159.7, -0.07935539, 0.8100892
159.75, -0.07935539, 0.8097731
160, -0.0818576, 0.8081931
160.05, -0.0818576, 0.8078772
160.3, -0.08435979, 0.8069292
160.35, -0.08498534, 0.8066132
160.65, -0.08686198, 0.8055072
160.7, -0.08686198, 0.8056653
160.95, -0.08873863, 0.8044013
161, -0.08873863, 0.8042433
161.15, -0.09124083, 0.8034533
161.3, -0.09124083, 0.8032954
161.55, -0.09436858, 0.8021894
161.6, -0.09374303, 0.8021894
161.85, -0.09624523, 0.8006094
161.9, -0.09687077, 0.8004514
162.2, -0.09937298, 0.7988715
162.25, -0.09937298, 0.7988715
162.5, -0.1012496, 0.7976075
162.55, -0.1018752, 0.7974495
162.65, -0.1031263, 0.7969755
162.85, -0.1043774, 0.7960275
163, -0.1056285, 0.7953956
163.15, -0.1056285, 0.7949216
163.4, -0.1087562, 0.7933416
163.45, -0.1087562, 0.7933416
163.75, -0.1118839, 0.7916036
163.9, -0.1118839, 0.7917617
164.05, -0.1137606, 0.7909716
164.1, -0.1137606, 0.7906557
164.3, -0.1162628, 0.7898657
164.4, -0.1162628, 0.7895497
164.55, -0.118765, 0.7887597
164.7, -0.1200161, 0.7879698
164.95, -0.1218927, 0.7871798
165, -0.1218927, 0.7870218
165.3, -0.1243949, 0.7857578
165.35, -0.1243949, 0.7857578
165.5, -0.125646, 0.7851258
165.65, -0.125646, 0.7844938
165.9, -0.1281482, 0.7835459
166, -0.1287738, 0.7832299
166.2, -0.1306504, 0.7822819
166.25, -0.1306504, 0.7822819
166.5, -0.1331526, 0.781176
166.6, -0.1331526, 0.781176
166.85, -0.1362804, 0.7797539
166.9, -0.1362804, 0.779596
167.15, -0.1387826, 0.778648
167.2, -0.1387826, 0.778806
167.4, -0.1412848, 0.777858
167.5, -0.1412848, 0.777384
167.75, -0.143787, 0.7764361
167.8, -0.143787, 0.7762781
168.1, -0.1456636, 0.7751721
168.15, -0.1462891, 0.7748562
168.35, -0.1481658, 0.7742241
168.45, -0.1494169, 0.7739081
168.65, -0.150668, 0.7731181
168.75, -0.1512935, 0.7729601
168.95, -0.1531702, 0.7721702
169.05, -0.1531702, 0.7718542
169.3, -0.1556724, 0.7709062
169.35, -0.1562979, 0.7709062
169.65, -0.1588001, 0.7696423
169.7, -0.1594257, 0.7694843
169.95, -0.1619279, 0.7682202
170.05, -0.1613023, 0.7683783
170.25, -0.1638045, 0.7675883
170.3, -0.1638045, 0.7675883
170.45, -0.1650556, 0.7669563
170.6, -0.1663067, 0.7664824
170.85, -0.1688089, 0.7656924
170.95, -0.1688089, 0.7655343
171.2, -0.1713111, 0.7645864
171.25, -0.1713111, 0.7642704
171.45, -0.1725622, 0.7639544
171.55, -0.1731878, 0.7636384
171.8, -0.1750644, 0.7628484
171.85, -0.1756899, 0.7626904
172.1, -0.1775666, 0.7617425
172.15, -0.1781922, 0.7615845
172.35, -0.1800688, 0.7607945
172.45, -0.1800688, 0.7606365
172.75, -0.182571, 0.7596885
172.8, -0.1831965, 0.7595305
173.05, -0.1844477, 0.7585826
173.1, -0.1850732, 0.7584246
173.15, -0.1863243, 0.7582666
173.4, -0.1863243, 0.7577925
173.6, -0.1888265, 0.7568446
173.7, -0.189452, 0.7566866
173.95, -0.1925798, 0.7555806
174.05, -0.1925798, 0.7554227
174.25, -0.1944564, 0.7547907
174.35, -0.1944564, 0.7547907
174.55, -0.1969586, 0.7538427
174.65, -0.1975842, 0.7535267
174.9, -0.2007119, 0.7524207
174.95, -0.2007119, 0.7522627
175.2, -0.201963, 0.7517887
175.25, -0.2025886, 0.7514727
175.55, -0.2057163, 0.7505248
175.6, -0.2057163, 0.7505248
175.75, -0.207593, 0.7498928
175.9, -0.2082185, 0.7497348
176.15, -0.2107207, 0.7484708
176.2, -0.2107207, 0.7484708
176.45, -0.2125974, 0.7475229
176.5, -0.2125974, 0.7475229
176.75, -0.2150996, 0.7465748
176.8, -0.2150996, 0.7464169
177.1, -0.2182273, 0.7454689
177.15, -0.2188529, 0.7451529
177.35, -0.2207295, 0.7448369
177.45, -0.2219806, 0.7445209
177.7, -0.2232317, 0.743731
177.75, -0.2238573, 0.743573
177.95, -0.2257339, 0.742941
178.05, -0.2263595, 0.742625
178.25, -0.2276105, 0.741835
178.4, -0.2276105, 0.741677
178.55, -0.2294872, 0.7412031
178.7, -0.2294872, 0.740729
178.95, -0.232615, 0.739781
179, -0.232615, 0.739781
179.25, -0.2351171, 0.7385171
179.3, -0.2351171, 0.7386751
179.55, -0.2369938, 0.7380431
179.6, -0.2376193, 0.7380431
179.8, -0.2401216, 0.7372531
179.9, -0.2401216, 0.7369372
180.15, -0.2426237, 0.7361472
180.25, -0.2432493, 0.7358312
180.45, -0.2445004, 0.7355151
180.55, -0.2451259, 0.7350411
180.8, -0.2476281, 0.7342512
180.85, -0.2470026, 0.7342512
181.05, -0.2495048, 0.7334612
181.15, -0.2495048, 0.7333032
181.45, -0.252007, 0.7325132
181.5, -0.2526325, 0.7321973
181.75, -0.2545092, 0.7315653
181.8, -0.2545092, 0.7315653
182, -0.2563858, 0.7309333
182.1, -0.2570114, 0.7306173
182.35, -0.2595136, 0.7298273
182.4, -0.2601391, 0.7298273
182.65, -0.2620158, 0.7290373
182.7, -0.2626413, 0.7288793
182.95, -0.2651435, 0.7284054
183.05, -0.264518, 0.7282473
183.3, -0.2670201, 0.7274574
183.35, -0.2676457, 0.7272994
183.5, -0.2695223, 0.7268254
183.65, -0.2707734, 0.7265094
183.9, -0.2732756, 0.7257195
183.95, -0.2732756, 0.7257195
184.15, -0.2751523, 0.7252455
184.25, -0.2757778, 0.7249295
184.55, -0.27828, 0.7241395
184.6, -0.27828, 0.7241395
184.85, -0.2801567, 0.7231915
184.9, -0.2814078, 0.7228755
185.05, -0.2826589, 0.7225595
185.2, -0.2826589, 0.7222435
185.45, -0.2851611, 0.7214535
185.5, -0.2851611, 0.7214535
185.75, -0.2876633, 0.7208216
185.8, -0.2876633, 0.7208216
186.1, -0.2895399, 0.7201896
186.15, -0.2901655, 0.7201896
186.35, -0.2920421, 0.7195576
186.45, -0.2932932, 0.7192416
186.7, -0.2945443, 0.7182936
186.8, -0.2945443, 0.7182936
186.9, -0.2957954, 0.7181356
187.05, -0.2970465, 0.7175037
187.25, -0.2989231, 0.7168717
187.35, -0.2989231, 0.7168717
187.6, -0.3014254, 0.7159237
187.7, -0.3020509, 0.7154497
187.95, -0.3051786, 0.7146598
188, -0.3045531, 0.7146598
188.25, -0.3064297, 0.7141858
188.3, -0.3070553, 0.7138698
188.5, -0.3083064, 0.7137118
188.6, -0.3089319, 0.7135538
188.9, -0.3126852, 0.7127638
188.95, -0.3120597, 0.7127638
189, -0.3126852, 0.7127638
189.25, -0.3133108, 0.7122898
189.5, -0.315813, 0.7114998
189.55, -0.3164385, 0.7113418
189.75, -0.3176896, 0.7108678
189.85, -0.3176896, 0.7108678
190.1, -0.3201918, 0.7100779
190.15, -0.3195663, 0.7100779
190.45, -0.322694, 0.7092879
190.5, -0.3233195, 0.7092879
190.75, -0.3251962, 0.7086559
190.8, -0.3251962, 0.7084979
191.05, -0.3276984, 0.707866
191.1, -0.328324, 0.707866
191.35, -0.3302006, 0.7072339
191.4, -0.3308261, 0.7070759
191.65, -0.3333284, 0.7061279
191.7, -0.3333284, 0.7061279
191.95, -0.3358306, 0.705496
192.05, -0.3364561, 0.70518
192.3, -0.3383327, 0.704548
192.35, -0.3383327, 0.704548
192.55, -0.3395839, 0.704074
192.65, -0.3402094, 0.703916
192.9, -0.3420861, 0.7032841
192.95, -0.3420861, 0.7031261
193.15, -0.3445882, 0.7024941
193.25, -0.3452138, 0.7021781
193.55, -0.347716, 0.7015461
193.6, -0.3483416, 0.7015461
193.8, -0.3495926, 0.7009141
193.9, -0.3508437, 0.7005981
194.1, -0.3520948, 0.7001241
194.2, -0.3520948, 0.6999661
194.45, -0.3558481, 0.6991761
194.5, -0.3558481, 0.6990182
194.7, -0.3583503, 0.6983862
194.8, -0.3589759, 0.6982282
195.05, -0.360227, 0.6977542
195.15, -0.360227, 0.6975962
195.4, -0.3627291, 0.6971222
195.45, -0.3627291, 0.6969643
195.65, -0.3646058, 0.6964902
