Experiment:, Load
Start date:, ?ter? 25. ?ervence 2023
Start time:, 12:07:58 +02:00
Time (s), Current Density (A/cm2), Voltage (V)
300.15, 0.02886462, 1.093059
300.3, -0.1200161, 1.046135
300.45, -0.004289486, 0.8807132
300.6, -0.004915043, 0.8712335
300.75, -0.006166136, 0.8657036
300.95, -0.008042786, 0.8587518
301.05, -0.009293883, 0.8559079
301.25, -0.01117053, 0.852274
301.4, -0.01179608, 0.8481661
301.45, -0.01304718, 0.8464282
301.7, -0.01367273, 0.8434262
301.9, -0.01554937, 0.8410563
302, -0.01554937, 0.8394763
302.25, -0.01805157, 0.8337885
302.3, -0.01867712, 0.8325245
302.55, -0.02117932, 0.8285747
302.65, -0.02180487, 0.8273107
302.9, -0.02493261, 0.8239927
302.95, -0.02493261, 0.8235188
303.15, -0.02618371, 0.8213068
303.25, -0.02618371, 0.8202009
303.55, -0.02868591, 0.8173569
303.6, -0.02931145, 0.815935
303.85, -0.03118811, 0.813565
303.9, -0.03118811, 0.8127751
304.1, -0.0336903, 0.8105631
304.2, -0.03431586, 0.8100892
304.45, -0.03681805, 0.8069292
304.5, -0.03681805, 0.8067712
304.8, -0.03932025, 0.8037694
304.85, -0.03932025, 0.8034533
305.1, -0.04057134, 0.8020313
305.15, -0.04119689, 0.8013994
305.4, -0.04244799, 0.7998194
305.45, -0.04369909, 0.7990295
305.75, -0.04620128, 0.7969755
305.8, -0.04682683, 0.7960275
306, -0.04807793, 0.7942896
306.1, -0.04870348, 0.7938156
306.35, -0.05058013, 0.7917617
306.4, -0.05120568, 0.7912876
306.65, -0.05245678, 0.7898657
306.7, -0.05308233, 0.7895497
307, -0.05621007, 0.7868638
307.05, -0.05683562, 0.7863898
307.3, -0.05933782, 0.7844938
307.35, -0.05933782, 0.7843359
307.6, -0.06184002, 0.7824399
307.65, -0.06184002, 0.7818079
307.9, -0.06371667, 0.7808599
307.95, -0.06371667, 0.780544
308.25, -0.06621886, 0.778174
308.3, -0.06746996, 0.7775421
308.55, -0.06872107, 0.7762781
308.6, -0.0693466, 0.7758041
308.8, -0.07122325, 0.7745401
308.9, -0.07184881, 0.7745401
309.15, -0.074351, 0.7724862
309.25, -0.07497655, 0.7718542
309.5, -0.0768532, 0.7702742
309.55, -0.0768532, 0.7701163
309.8, -0.07935539, 0.7685363
309.85, -0.07935539, 0.7682202
310.1, -0.08123204, 0.7672723
310.15, -0.0818576, 0.7669563
310.45, -0.08435979, 0.7649024
310.5, -0.08435979, 0.7645864
310.75, -0.08686198, 0.7631644
310.85, -0.08686198, 0.7631644
310.95, -0.08873863, 0.7620584
311.1, -0.08873863, 0.7615845
311.4, -0.09249193, 0.7598465
311.45, -0.09249193, 0.7596885
311.7, -0.09499412, 0.7581085
311.75, -0.09499412, 0.7576345
312, -0.09749633, 0.7562126
312.05, -0.09812186, 0.7565286
312.15, -0.09937298, 0.7557386
312.35, -0.09937298, 0.7549486
312.65, -0.1031263, 0.7535267
312.7, -0.1031263, 0.7532107
312.95, -0.106254, 0.7513147
313, -0.1068796, 0.7511567
313.25, -0.1081306, 0.7500508
313.3, -0.1087562, 0.7498928
313.4, -0.1100073, 0.7489448
313.6, -0.1106329, 0.7483128
313.8, -0.1125095, 0.7473649
313.95, -0.113135, 0.7470489
314.2, -0.1162628, 0.7451529
314.25, -0.1162628, 0.7451529
314.5, -0.1175139, 0.7438889
314.55, -0.118765, 0.743573
314.75, -0.1200161, 0.742941
314.9, -0.1200161, 0.742625
315.15, -0.1225183, 0.7412031
315.2, -0.1225183, 0.740887
315.4, -0.1250205, 0.739781
315.5, -0.125646, 0.7394651
315.75, -0.1268971, 0.7386751
315.8, -0.1268971, 0.7385171
316.1, -0.1300249, 0.7366211
316.15, -0.1306504, 0.7366211
316.35, -0.1319015, 0.7358312
316.45, -0.1325271, 0.7355151
316.6, -0.1344037, 0.7345672
316.75, -0.1350293, 0.7339352
317.05, -0.1369059, 0.7331452
317.1, -0.1375315, 0.7328292
317.3, -0.1387826, 0.7320393
317.4, -0.1394081, 0.7314073
317.65, -0.1412848, 0.7306173
317.7, -0.1412848, 0.7304593
317.95, -0.143787, 0.7291953
318, -0.143787, 0.7288793
318.3, -0.1469147, 0.7276154
318.35, -0.1475403, 0.7276154
318.55, -0.1487914, 0.7268254
318.65, -0.1487914, 0.7268254
318.9, -0.150668, 0.7258775
318.95, -0.150668, 0.7255614
319.15, -0.1531702, 0.7246135
319.3, -0.1531702, 0.7242975
319.55, -0.1569235, 0.7230335
319.6, -0.1569235, 0.7230335
319.85, -0.1588001, 0.7224015
319.9, -0.1594257, 0.7219275
320.15, -0.1606768, 0.7211376
320.2, -0.1613023, 0.7209796
320.45, -0.1638045, 0.7198736
320.55, -0.1638045, 0.7195576
320.8, -0.1663067, 0.7186096
320.85, -0.1663067, 0.7186096
321.1, -0.1681834, 0.7171876
321.15, -0.1688089, 0.7171876
321.35, -0.17006, 0.7167137
321.45, -0.1706856, 0.7162397
321.65, -0.1725622, 0.7152917
321.8, -0.1731878, 0.7149757
322.05, -0.1763155, 0.7141858
322.1, -0.1763155, 0.7140278
322.35, -0.1794432, 0.7130798
322.4, -0.1794432, 0.7130798
322.7, -0.1819454, 0.7122898
322.75, -0.1819454, 0.7121318
322.85, -0.1831965, 0.7116578
323.05, -0.1831965, 0.7108678
323.3, -0.1856987, 0.7102358
323.35, -0.1856987, 0.7102358
323.55, -0.1888265, 0.7096039
323.65, -0.189452, 0.7094459
323.95, -0.1919543, 0.7088139
324, -0.1925798, 0.7086559
324.25, -0.1932053, 0.708024
324.3, -0.1938309, 0.707866
324.5, -0.1957076, 0.7072339
324.6, -0.1969586, 0.7069179
324.8, -0.1994608, 0.706286
324.95, -0.2000864, 0.7059699
325.1, -0.201963, 0.705338
325.25, -0.2025886, 0.70518
325.5, -0.2044652, 0.70439
325.55, -0.2044652, 0.704232
325.75, -0.2069674, 0.703442
325.85, -0.2069674, 0.7032841
326.15, -0.2094696, 0.7024941
326.2, -0.2088441, 0.7024941
326.45, -0.2125974, 0.7015461
326.5, -0.2125974, 0.70123
326.75, -0.2150996, 0.7004401
326.8, -0.2150996, 0.7005981
327.05, -0.2176018, 0.7001241
327.1, -0.2182273, 0.6998081
327.4, -0.220104, 0.6988602
327.45, -0.220104, 0.6988602
327.7, -0.2226062, 0.6979122
327.75, -0.2232317, 0.6979122
327.95, -0.2251084, 0.6969643
328.05, -0.2257339, 0.6966482
328.35, -0.2276105, 0.6958582
328.4, -0.2282361, 0.6958582
328.65, -0.2294872, 0.6952263
328.7, -0.2307383, 0.6949102
328.95, -0.232615, 0.6941203
329, -0.232615, 0.6942783
329.2, -0.2351171, 0.6933303
329.35, -0.2357427, 0.6930143
329.5, -0.2376193, 0.6923823
329.65, -0.2382449, 0.6919084
329.8, -0.2401216, 0.6912764
329.95, -0.2413726, 0.6909604
330.2, -0.2432493, 0.6904864
330.25, -0.2432493, 0.6904864
330.5, -0.2457515, 0.6895384
330.6, -0.2457515, 0.6895384
330.85, -0.2476281, 0.6885904
330.9, -0.2482537, 0.6884325
331.15, -0.2495048, 0.6879585
331.2, -0.2495048, 0.6879585
331.45, -0.2532581, 0.6868525
331.5, -0.2532581, 0.6868525
331.65, -0.2545092, 0.6863785
331.85, -0.2551347, 0.6862205
332.1, -0.2570114, 0.6855885
332.2, -0.2570114, 0.6851146
332.3, -0.258888, 0.6846405
332.45, -0.2601391, 0.6841666
332.75, -0.2620158, 0.6835346
332.8, -0.2620158, 0.6833766
333.05, -0.264518, 0.6829026
333.1, -0.264518, 0.6827446
333.35, -0.2676457, 0.6819546
333.4, -0.2676457, 0.6817966
333.6, -0.2695223, 0.6814806
333.7, -0.2695223, 0.6811647
333.95, -0.271399, 0.6806906
334.05, -0.2720245, 0.6806906
334.15, -0.2732756, 0.6802167
334.35, -0.2739012, 0.6800587
334.6, -0.2764034, 0.6791106
334.65, -0.2770289, 0.6789527
334.9, -0.2789056, 0.6783207
334.95, -0.2789056, 0.6783207
335.25, -0.2814078, 0.6776887
335.3, -0.2814078, 0.6775308
335.5, -0.28391, 0.6768988
335.6, -0.28391, 0.6767408
335.85, -0.2864122, 0.6762668
335.9, -0.2864122, 0.6761088
336.2, -0.2895399, 0.6751608
336.25, -0.2901655, 0.6751608
336.4, -0.2914166, 0.6748449
336.55, -0.2920421, 0.6743709
336.8, -0.2945443, 0.6735808
336.85, -0.2945443, 0.6735808
337, -0.2970465, 0.6731068
337.15, -0.2970465, 0.6727909
337.35, -0.2989231, 0.6723168
337.5, -0.2989231, 0.6723168
337.75, -0.3014254, 0.6715269
337.8, -0.3020509, 0.6712109
337.9, -0.303302, 0.6710529
338.1, -0.3039276, 0.670579
338.35, -0.3064297, 0.669947
338.45, -0.3064297, 0.669631
338.7, -0.310183, 0.669157
338.75, -0.310183, 0.668841
338.8, -0.3114342, 0.668841
339.05, -0.3120597, 0.668367
339.3, -0.3145619, 0.667577
339.35, -0.3145619, 0.667577
339.65, -0.3164385, 0.666945
339.7, -0.3170641, 0.666945
339.85, -0.3183152, 0.6664711
340, -0.3195663, 0.6663131
340.25, -0.3220685, 0.6655231
340.3, -0.3220685, 0.6653651
340.5, -0.3239451, 0.6650491
340.6, -0.3245707, 0.6650491
340.8, -0.3258218, 0.6645751
340.95, -0.3264473, 0.6642591
341.2, -0.3289495, 0.6634691
341.25, -0.3289495, 0.6633112
341.45, -0.3308261, 0.6629952
341.55, -0.3314517, 0.6628371
341.85, -0.3333284, 0.6622052
341.9, -0.3345795, 0.6617312
342.1, -0.3364561, 0.6612571
342.2, -0.3370816, 0.6610992
342.45, -0.3389583, 0.6606252
342.5, -0.3389583, 0.6603092
342.7, -0.3414605, 0.6599932
342.8, -0.3414605, 0.6598352
342.85, -0.3420861, 0.6595193
343.15, -0.3427116, 0.6590453
343.35, -0.3445882, 0.6587293
343.45, -0.3458393, 0.6582553
343.7, -0.3483416, 0.6576233
343.75, -0.3483416, 0.6576233
344.05, -0.3502182, 0.6568333
344.1, -0.3508437, 0.6565173
344.3, -0.3520948, 0.6562013
344.4, -0.3527204, 0.6558853
344.65, -0.3564737, 0.6552534
344.7, -0.3564737, 0.6550953
344.95, -0.3583503, 0.6544634
345, -0.3589759, 0.6543054
345.25, -0.3614781, 0.6536734
345.35, -0.3621036, 0.6533574
345.5, -0.3639803, 0.6528834
345.65, -0.3646058, 0.6527255
345.9, -0.367108, 0.6520935
345.95, -0.367108, 0.6519355
346.2, -0.3702357, 0.6513034
346.3, -0.3702357, 0.6513034
346.5, -0.3721124, 0.6508294
346.6, -0.3733635, 0.6505135
346.8, -0.3739891, 0.6501974
346.9, -0.3746146, 0.6500395
347.15, -0.3764912, 0.6492495
347.2, -0.3771168, 0.6492495
347.45, -0.3789935, 0.6489335
347.55, -0.3789935, 0.6489335
347.8, -0.3814957, 0.6483015
347.85, -0.3814957, 0.6483015
348.1, -0.3839978, 0.6475116
348.15, -0.3839978, 0.6475116
348.25, -0.3852489, 0.6471956
348.45, -0.3858745, 0.6468796
348.75, -0.3890022, 0.6464056
348.8, -0.3890022, 0.6462476
348.95, -0.3902533, 0.6457736
349.1, -0.3908789, 0.6456156
349.3, -0.39213, 0.6452996
349.4, -0.39213, 0.6449836
349.7, -0.3958833, 0.6443517
349.75, -0.3958833, 0.6443517
350, -0.3983855, 0.6438776
350.05, -0.3983855, 0.6438776
350.25, -0.4008877, 0.6434036
350.35, -0.4008877, 0.6438776
350.45, -0.4027643, 0.6432457
350.65, -0.4033899, 0.6429297
350.85, -0.4052666, 0.6429297
351, -0.4058921, 0.6429297
351.25, -0.4077687, 0.6432457
351.3, -0.4090198, 0.6430877
351.55, -0.4108965, 0.6429297
351.6, -0.4115221, 0.6429297
351.85, -0.4133987, 0.6429297
351.95, -0.4127732, 0.6432457
352.1, -0.4146498, 0.6429297
352.25, -0.4159009, 0.6427717
352.45, -0.4177775, 0.6426137
352.55, -0.4177775, 0.6427717
352.7, -0.4196542, 0.6424557
352.85, -0.4209053, 0.6424557
353.15, -0.4234075, 0.6418237
353.2, -0.424033, 0.6418237
353.45, -0.4259097, 0.6411918
353.5, -0.4252841, 0.6415077
353.75, -0.4277863, 0.6411918
353.8, -0.4290374, 0.6408758
354, -0.4302885, 0.6405598
354.1, -0.4302885, 0.6405598
354.35, -0.4327907, 0.6402437
354.45, -0.4327907, 0.6400858
354.7, -0.4352929, 0.6392958
354.75, -0.4352929, 0.6392958
355, -0.4377951, 0.6388218
355.05, -0.4384207, 0.6386638
355.35, -0.4409229, 0.6381898
355.4, -0.4409229, 0.6378738
355.6, -0.443425, 0.6373999
355.7, -0.443425, 0.6372418
355.95, -0.4459273, 0.6366099
356, -0.4459273, 0.6366099
